구,동,구분,단지명,세대수,사용검사일,도로명주소,Latitude,Longitude
수지구,죽전동,임대,용인 죽전 경기행복주택,85,20220826,수지구 대지로 37,37.3290633,127.1248576
수지구,신봉동,분양,수지스카이뷰푸르지오,363,20220628,수지구 신봉3로7번길 31,37.3264919,127.0657722
수지구,신봉동,분양,힐스테이트 광교산,789,20220429,수지구 신봉2로 154,37.3288652,127.0722041
수지구,동천동,분양,한화 포레나 수지동천,293,20220221,수지구 고기로45번길 40,37.3414282,127.09015
기흥구,언남동,분양,힐스테이트 구성,699,(20210731~20230730),기흥구 용인향교로 29,37.2967369,127.1202756
기흥구,동백동,분양,신동백 두산위브더제니스,1187,20210630,기흥구 동백죽전대로 507,37.2721370999999,127.1521978
수지구,죽전동,분양,죽전역 솔하임,234,20210309,수지구 정든로 5,37.3274678,127.1145453
수지구,상현동,분양,광교상현 솔하임,224,20210204,수지구 상현로 6,37.3025489,127.074759
수지구,성복동,분양,성복역 롯데캐슬 클라시엘(파크나인2차),1094,20210129,수지구 성복1로 35,37.3175005,127.0653222
수지구,죽전동,분양,까뮤이스테이트,193,20200831,수지구 용구대로 2793,37.3302001,127.1090083
수지구,성복동,분양,성복역롯데캐슬파크나인1차,534,20200630,수지구 성복1로 13,37.3175005,127.0653222
수지구,동천동,분양,더샵 동천이스트포레,980,20200814,수지구 수풍로 89,37.3318415,127.093177
수지구,상현동,분양,상현더샵파크사이드,479,2019.08.28,수지구 만현로67번길 20,37.3086893,127.0899616
기흥구,영덕동,분양,기흥힉스유타워,230,2019.11.01,기흥구 중부대로 184,37.2653654,127.1005782
기흥구,신갈동,분양,이안두드림,297,2019.9.10,기흥구 중부대로 376,37.2713491,127.1088506
처인구,남사면 아곡리,분양,e편한 세상 용인 파크카운티,75,20190628,처인구 남사면 한숲로33번길 36,37.2291545,127.2825314
수지구,동천동,분양,동천파크자이,388,20190730,수지구 동천로153번길 79,37.3356424,127.086916
수지구,성복동,분양,성복역 롯데캐슬 골드타운,2356,20190630,수지구 성복2로 10,37.3173486,127.0657805
