,운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,Latitude,Longitude,이용가능시간,이용자 제한,지번주소,행정동
0,제주전기자동차서비스,경희마크329,1,AC완속,경기도,용인시,경기도 용인시 기흥구 서천로127번길 11-5(경희마크 329),37.2367821,127.073225,24시간,부분개방,경기도 용인시 기흥구 서천동 812 경희마크 329,서농동
1,제주전기자동차서비스,경희마크329,2,AC완속,경기도,용인시,경기도 용인시 기흥구 서천로127번길 11-5(경희마크 329),37.2367821,127.073225,24시간,부분개방,경기도 용인시 기흥구 서천동 812 경희마크 329,서농동
2,제주전기자동차서비스,경희마크329,3,AC완속,경기도,용인시,경기도 용인시 기흥구 서천로127번길 11-5(경희마크 329),37.2367821,127.073225,24시간,부분개방,경기도 용인시 기흥구 서천동 812 경희마크 329,서농동
3,제주전기자동차서비스,경희마크329,4,AC완속,경기도,용인시,경기도 용인시 기흥구 서천로127번길 11-5(경희마크 329),37.2367821,127.073225,24시간,부분개방,경기도 용인시 기흥구 서천동 812 경희마크 329,서농동
4,제주전기자동차서비스,명지대학교 자연캠퍼스,1,AC완속,경기도,용인시,경기도 용인시 처인구 명지로 116,37.222691,127.190167,24시간,제한없음,경기도 용인시 처인구 남동 555 명지대학교용인캠퍼스,중앙동
5,제주전기자동차서비스,명지대학교 자연캠퍼스,2,AC완속,경기도,용인시,경기도 용인시 처인구 명지로 116,37.222691,127.190167,24시간,제한없음,경기도 용인시 처인구 남동 555 명지대학교용인캠퍼스,중앙동
6,제주전기자동차서비스,명지대학교 자연캠퍼스,3,AC완속,경기도,용인시,경기도 용인시 처인구 명지로 116,37.222691,127.190167,24시간,제한없음,경기도 용인시 처인구 남동 555 명지대학교용인캠퍼스,중앙동
7,제주전기자동차서비스,명지대학교 자연캠퍼스,4,AC완속,경기도,용인시,경기도 용인시 처인구 명지로 116,37.222691,127.190167,24시간,제한없음,경기도 용인시 처인구 남동 555 명지대학교용인캠퍼스,중앙동
8,제주전기자동차서비스,명지대학교 자연캠퍼스,5,AC완속,경기도,용인시,경기도 용인시 처인구 명지로 116,37.222691,127.190167,24시간,제한없음,경기도 용인시 처인구 남동 555 명지대학교용인캠퍼스,중앙동
9,제주전기자동차서비스,명지대학교 자연캠퍼스,6,AC완속,경기도,용인시,경기도 용인시 처인구 명지로 116,37.222691,127.190167,24시간,제한없음,경기도 용인시 처인구 남동 555 명지대학교용인캠퍼스,중앙동
10,제주전기자동차서비스,신동백두산위브더제니스상가,2,AC완속,경기도,용인시,경기도 용인시 기흥구 동백죽전대로 507(694 용인동백두산위브더제니스),37.2721371,127.1521978,24시간,제한없음,경기도 용인시 기흥구 동백동 694 용인동백두산위브더제니스,동백3동
11,제주전기자동차서비스,예아리박물관,1,AC완속,경기도,용인시,경기도 용인시 처인구 백암면 원설로270번길 25,37.1402263,127.3593276,09:00~18:00,제한없음,경기도 용인시 처인구 백암면 근삼리 389-1 예아리 박물관,백암면
12,제주전기자동차서비스,예아리박물관,2,AC완속,경기도,용인시,경기도 용인시 처인구 백암면 원설로270번길 25,37.1402263,127.3593276,09:00~18:00,제한없음,경기도 용인시 처인구 백암면 근삼리 389-1 예아리 박물관,백암면
13,제주전기자동차서비스,오토허브서비스,1,AC완속,경기도,용인시,경기도 용인시 기흥구 중부대로 242-2(영덕동 21-1),37.2730015,127.0846102,24시간,제한없음,경기도 용인시 기흥구 영덕동 1266 오토허브,영덕2동
