운영기관,충전소,충전기ID,충전기타입,지역,시군구,주소,이용가능시간,이용자 제한
제주전기자동차서비스,경희마크329,1,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 서천로127번길 11-5(경희마크 329),24시간,부분개방
제주전기자동차서비스,경희마크329,2,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 서천로127번길 11-5(경희마크 329),24시간,부분개방
제주전기자동차서비스,경희마크329,3,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 서천로127번길 11-5(경희마크 329),24시간,부분개방
제주전기자동차서비스,경희마크329,4,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 서천로127번길 11-5(경희마크 329),24시간,부분개방
제주전기자동차서비스,명지대학교 자연캠퍼스,1,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 명지로 116,24시간,제한없음
제주전기자동차서비스,명지대학교 자연캠퍼스,2,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 명지로 116,24시간,제한없음
제주전기자동차서비스,명지대학교 자연캠퍼스,3,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 명지로 116,24시간,제한없음
제주전기자동차서비스,명지대학교 자연캠퍼스,4,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 명지로 116,24시간,제한없음
제주전기자동차서비스,명지대학교 자연캠퍼스,5,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 명지로 116,24시간,제한없음
제주전기자동차서비스,명지대학교 자연캠퍼스,6,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 명지로 116,24시간,제한없음
제주전기자동차서비스,신동백두산위브더제니스상가,2,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 동백죽전대로 507(694 용인동백두산위브더제니스),24시간,제한없음
제주전기자동차서비스,예아리박물관,1,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 백암면 원설로270번길 25,09:00~18:00,제한없음
제주전기자동차서비스,예아리박물관,2,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 백암면 원설로270번길 25,09:00~18:00,제한없음
제주전기자동차서비스,오토허브서비스,1,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 중부대로 242-2(영덕동 21-1),24시간,제한없음
한국전력,경남아너스빌,1,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 영덕동 1117,24시간,입주자외 출입제한 (긴급상황 이용가능)
한국전력,경남아너스빌,2,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 영덕동 1117,24시간,입주자외 출입제한 (긴급상황 이용가능)
한국전력,경남아너스빌,3,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 영덕동 1117,24시간,입주자외 출입제한 (긴급상황 이용가능)
한국전력,경남아너스빌,4,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 영덕동 1117,24시간,입주자외 출입제한 (긴급상황 이용가능)
한국전력,경남아너스빌2차,1,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 성복동 성복1로163번길 11,24시간,입주자외 출입제한 (긴급상황 이용가능)
한국전력,광교마을 45단지 아파트,2,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 상현동 광교마을로 11,24시간,시설 상황에 따라 이용이 제한될 수 있음
한국전력,광교마을 45단지 아파트,3,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 상현동 광교마을로 11,24시간,시설 상황에 따라 이용이 제한될 수 있음
한국전력,광교마을46단지 광교스타클래스,1,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 상현동 법조로 252,24시간,시설 상황에 따라 이용이 제한될 수 있음
한국전력,광교마을46단지 광교스타클래스,2,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 상현동 법조로 252,24시간,시설 상황에 따라 이용이 제한될 수 있음
한국전력,교동마을 동양파라곤,2,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 마북동 마북로 140,24시간,시설 상황에 따라 이용이 제한될 수 있음
한국전력,교동마을 동양파라곤,3,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 마북동 마북로 140,24시간,시설 상황에 따라 이용이 제한될 수 있음
한국전력,교동마을쌍용,2,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 마북동 마북로154번길 23,24시간,시설 상황에 따라 이용이 제한될 수 있음
한국전력,교동마을쌍용,3,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 마북동 마북로154번길 23,24시간,시설 상황에 따라 이용이 제한될 수 있음
한국전력,구성역 효성해링턴플레이스,1,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 마북동 구성로53번길 20지하,24시간,시설 상황에 따라 이용이 제한될 수 있음
한국전력,구성역 효성해링턴플레이스,2,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 마북동 구성로53번길 20지하,24시간,시설 상황에 따라 이용이 제한될 수 있음
한국전력,금호베스트빌2단지아파트,2,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 상현동 상현로 58지하,24시간,시설 상황에 따라 이용이 제한될 수 있음
한국전력,금호베스트빌2단지아파트,3,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 상현동 상현로 58지하,24시간,시설 상황에 따라 이용이 제한될 수 있음
한국전력,꽃메마을한라신영프로방스아파트,2,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 죽전동 죽전로27번길 14-30,24시간,시설 상황에 따라 이용이 제한될 수 있음
한국전력,대주피오레1단지,2,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 공세동 탑실로 15,24시간,시설 상황에 따라 이용이 제한될 수 있음
한국전력,대주피오레1단지,3,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 공세동 탑실로 15,24시간,시설 상황에 따라 이용이 제한될 수 있음
한국전력,대주피오레1단지,4,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 공세동 탑실로 15,24시간,시설 상황에 따라 이용이 제한될 수 있음
한국전력,도담마을푸르지오,1,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 죽전동 푸른솔로 41,24시간,시설 상황에 따라 이용이 제한될 수 있음
한국전력,도담마을푸르지오,2,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 죽전동 푸른솔로 41,24시간,시설 상황에 따라 이용이 제한될 수 있음
한국전력,동문3차아파트,1,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 동천동 858,24시간,입주자외 출입제한 (긴급상황 이용가능)
한국전력,동문3차아파트,2,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 동천동 858,24시간,입주자외 출입제한 (긴급상황 이용가능)
한국전력,동문6차굿모닝힐아파트,1,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 동천동 동천로 53,24시간,입주자외 출입제한 (긴급상황 이용가능)
한국전력,동문6차굿모닝힐아파트,2,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 동천동 동천로 53,24시간,입주자외 출입제한 (긴급상황 이용가능)
한국전력,동백금호어울림타운하우스A,1,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 중동 동백4로 53,24시간,시설 상황에 따라 이용이 제한될 수 있음
한국전력,동백금호어울림타운하우스B,1,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 중동 동백4로 27,24시간,시설 상황에 따라 이용이 제한될 수 있음
한국전력,동백하우스토리,1,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 중동 동백5로 62,24시간,시설 상황에 따라 이용이 제한될 수 있음
한국전력,동백하우스토리,2,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 중동 동백5로 62,24시간,시설 상황에 따라 이용이 제한될 수 있음
한국전력,동부센트레빌5차,2,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 신봉동 신봉1로 214,24시간,입주자외 출입제한 (긴급상황 이용가능)
한국전력,동부센트레빌5차,3,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 신봉동 신봉1로 214,24시간,입주자외 출입제한 (긴급상황 이용가능)
한국전력,동아솔레시티 아파트,3,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 보정동 보정로 30,24시간,시설 상황에 따라 이용이 제한될 수 있음
한국전력,동아솔레시티 아파트,4,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 보정동 보정로 30,24시간,시설 상황에 따라 이용이 제한될 수 있음
한국전력,동아솔레시티 아파트,5,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 보정동 보정로 30,24시간,시설 상황에 따라 이용이 제한될 수 있음
한국전력,동일하이빌2차아파트,2,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 언남동 언남로 15,24시간,시설 상황에 따라 이용이 제한될 수 있음
한국전력,동일하이빌2차아파트,3,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 언남동 언남로 15,24시간,시설 상황에 따라 이용이 제한될 수 있음
한국전력,동일하이빌2차아파트,4,AC완속,경기도 ,용인시 ,경기도 용인시 기흥구 언남동 언남로 15,24시간,시설 상황에 따라 이용이 제한될 수 있음
한국전력,동천마을 현대2차홈타운,1,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 동천동 동천로63번길 10,24시간,입주자외 출입제한 (긴급상황 이용가능)
한국전력,동천마을 현대2차홈타운,2,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 동천동 동천로63번길 10,24시간,입주자외 출입제한 (긴급상황 이용가능)
한국전력,동천마을 현대2차홈타운,3,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 동천동 동천로63번길 10,24시간,입주자외 출입제한 (긴급상황 이용가능)
한국전력,동천마을 현대2차홈타운,4,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 동천동 동천로63번길 10,24시간,입주자외 출입제한 (긴급상황 이용가능)
한국전력,래미안 수지 이스트파크,2,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 풍덕천동 신수로683번길 19,24시간,시설 상황에 따라 이용이 제한될 수 있음
한국전력,래미안 수지 이스트파크,3,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 풍덕천동 신수로683번길 19,24시간,시설 상황에 따라 이용이 제한될 수 있음
한국전력,래미안 수지 이스트파크,4,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 풍덕천동 신수로683번길 19,24시간,시설 상황에 따라 이용이 제한될 수 있음
한국전력,래미안이스트팰리스3단지 아파트,2,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 동천동 동천로135번길 21,24시간,시설 상황에 따라 이용이 제한될 수 있음
한국전력,마평라이프아파트,1,AC완속,경기도 ,용인시 ,경기도 용인시 처인구 마평동 605-1,24시간,입주자외 출입제한 (긴급상황 이용가능)
한국전력,만현마을 롯데캐슬아파트,2,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 상현동 만현로 25,24시간,입주자외 출입제한 (긴급상황 이용가능)
한국전력,만현마을 롯데캐슬아파트,3,AC완속,경기도 ,용인시 ,경기도 용인시 수지구 상현동 만현로 25,24시간,입주자외 출입제한 (긴급상황 이용가능)
