구분,지정일자,최신재지정일자,업소명,소재지(도로명),소재지(지번),소재지전화번호,주된음식,면적,행정동,데이터제공일자
재지정,2003-07-21,2016-07-12,송죽,경기도 용인시 처인구 양지면 양지로143번길 5-9,경기도 용인시 처인구 양지면 양지리 627 - 7  ,031-338-3775,"갈비,등심,돼지갈비",119.82,처인구 양지면,2022-07-21
재지정,2001-10-10,2016-07-12,백암제일식당,경기도 용인시 처인구 백암면 백암로201번길 11 (1층),경기도 용인시 처인구 백암면 백암리 449 - 2 1층 ,031-332-4608,순대국,102.01,처인구 백암면,2022-07-21
재지정,2000-07-15,2016-07-12,중앙식당,경기도 용인시 처인구 백암면 근창로 13,경기도 용인시 처인구 백암면 백암리 447 - 10  ,031-333-7750,순대국,91,처인구 백암면,2022-07-21
재지정,2002-04-10,2018-11-12,푸주옥,경기도 용인시 처인구 중부대로1392번길 18-8 (김량장동),경기도 용인시 처인구 김량장동 359 - 2  ,031-335-3808,도가니탕,190.75,처인구 중앙동,2022-07-21
재지정,2003-01-24,2016-07-12,옛터,경기도 용인시 처인구 모현읍 능원로132번길 9,경기도 용인시 처인구 모현읍 능원리 376  ,031-339-6630,"등심,안창살",380.06,처인구 모현읍,2022-07-21
재지정,2012-08-30,2018-11-12,대성부대고기식당,"경기도 용인시 처인구 금령로90번길 3-6, 1,2층 (김량장동, 외2필지)","경기도 용인시 처인구 김량장동 87 - 5 1,2층 외2필지 ",031-335-3486,부대찌개,327.4,처인구 중앙동,2022-07-21
재지정,1996-07-20,2018-11-12,장수집,경기도 용인시 처인구 이동읍 경기동로1024번길 54,경기도 용인시 처인구 이동읍 어비리 209 - 1  ,031-336-7304,붕어찜,121.26,처인구 이동읍,2022-07-21
재지정,1996-07-20,2016-07-12,고박사냉면,경기도 용인시 처인구 양지면 중부대로 1934-2,경기도 용인시 처인구 양지면 송문리 151  ,031-332-1423,냉면,395.09,처인구 양지면,2022-07-21
재지정,1996-07-20,2018-11-12,한가람,경기도 용인시 처인구 포곡읍 에버랜드로 199,경기도 용인시 처인구 포곡읍 가실리 148  ,031-320-8264,한식,735,처인구 포곡읍,2022-07-21
재지정,2003-07-21,2016-07-12,풍미정식당,경기도 용인시 처인구 모현읍 능원로 72,경기도 용인시 처인구 모현읍 능원리 327  ,031-339-3139,백숙,188.08,처인구 모현읍,2022-07-21
재지정,2011-12-29,2016-07-12,우림개발(주)용인상휴게소(한식),경기도 용인시 처인구 주북로 66-16 (고림동),경기도 용인시 처인구 고림동 89  ,031-339-3660,"우동, 한정식",289.86,처인구 유림동,2022-07-21
재지정,2011-12-29,2016-07-12,우림개발(주)용인하휴게소(한식),경기도 용인시 처인구 주북로94번길 30-1 (고림동),경기도 용인시 처인구 고림동 11  ,031-339-3663,"우동,한정식",283.13,처인구 유림동,2022-07-21
재지정,1998-02-04,2018-11-12,뜰안애,경기도 용인시 처인구 이동읍 백옥대로 805-18,경기도 용인시 처인구 이동읍 천리 515 - 2  ,031-334-7493,"갈비, 정식",416,처인구 이동읍,2022-07-21
재지정,1999-09-30,2018-11-12,뜨락,경기도 용인시 처인구 이동읍 이원로 209,경기도 용인시 처인구 이동읍 묵리 751 - 5  ,031-334-7755,영양밥,188.06,처인구 이동읍,2022-07-21
재지정,2001-03-19,2018-04-03,돈가네옛날김치돼지찌개 백암점,경기도 용인시 처인구 백암면 백암로 175,경기도 용인시 처인구 백암면 백암리 501  ,031-332-4023,"김치찌개, 삼겹살 등",112.45,처인구 백암면,2022-07-21
재지정,2002-04-10,2016-07-12,(주)신촌댁식품,경기도 용인시 처인구 원삼면 죽양대로 1774 (2층),경기도 용인시 처인구 원삼면 맹리 559 - 5 2층 ,031-339-3737,설렁탕,282.72,처인구 원삼면,2022-07-21
재지정,2007-06-19,2018-11-12,한우정,경기도 용인시 처인구 중부대로1676번길 12 (마평동),경기도 용인시 처인구 마평동 249 - 2  ,031-335-4425,"등심,갈비살",66.13,처인구 동부동,2022-07-21
재지정,2003-07-21,2018-11-12,두부고을,경기도 용인시 처인구 남사면 경기동로 13,경기도 용인시 처인구 남사면 통삼리 634 - 7  ,031-333-5767,두부정식,176.83,처인구 남사면,2022-07-21
재지정,1998-02-04,2016-07-12,청룡,경기도 용인시 처인구 원삼면 보개원삼로 1624,경기도 용인시 처인구 원삼면 죽능리 236  ,031-334-9258,자라요리,134.52,처인구 원삼면,2022-07-21
재지정,1999-09-30,2018-11-12,알파인레스토랑(Alpine Food Fair),경기도 용인시 처인구 포곡읍 에버랜드로 199,경기도 용인시 처인구 포곡읍 전대리 157 - 20  ,031-320-8267,스파게티,1861.01,처인구 포곡읍,2022-07-21
재지정,1999-09-30,2018-11-12,오리엔탈 레스토랑(ORIENTAL Restaurant),경기도 용인시 처인구 포곡읍 에버랜드로 199,경기도 용인시 처인구 포곡읍 전대리 519 - 19  ,031-330-3142,국수,1142.52,처인구 포곡읍,2022-07-21
재지정,2002-04-10,2016-01-29,본가장수촌,경기도 용인시 처인구 모현읍 능원로 31,경기도 용인시 처인구 모현읍 능원리 264  ,031-337-2888,백숙,145.58,처인구 모현읍,2022-07-21
재지정,2005-07-18,2016-07-12,외할머니집(용인점),경기도 용인시 처인구 모현읍 오포로 97-1,경기도 용인시 처인구 모현읍 능원리 16 - 3  ,031-339-8849,한정식,190,처인구 모현읍,2022-07-21
재지정,2001-10-10,2018-11-12,맛고을,경기도 용인시 처인구 이동읍 이원로 201,경기도 용인시 처인구 이동읍 묵리 897 - 1  ,031-333-5075,생선구이,171.48,처인구 이동읍,2022-07-21
재지정,2012-08-30,2016-07-12,행복한마당,경기도 용인시 처인구 양지면 중부대로 2065-9,경기도 용인시 처인구 양지면 양지리 790 - 3  ,031-321-7800,한정식,192.79,처인구 양지면,2022-07-21
지정,2017-12-21,2017-12-21,호가(Hogar),경기도 용인시 처인구 포곡읍 성산로 670 (1층),경기도 용인시 처인구 포곡읍 전대리 340 1층 ,031-338-2728,불고기,99,처인구 포곡읍,2022-07-21
재지정,1998-02-04,2016-07-12,주식회사시골농장가든,경기도 용인시 처인구 양지면 한터로 690,경기도 용인시 처인구 양지면 대대리 765  ,031-339-6600,오리백숙,199.8,처인구 양지면,2022-07-21
재지정,2002-04-10,2016-07-12,자작나무이야기,경기도 용인시 처인구 양지면 대대로 302,경기도 용인시 처인구 양지면 대대리 20  ,031-332-3928,"돈까스, 스테이크, 황태정식",185.76,처인구 양지면,2022-07-21
재지정,2002-04-10,2016-03-08,약산흑염소,경기도 용인시 처인구 양지면 남평로 106-1 (1층),경기도 용인시 처인구 양지면 남곡리 102 - 1 1층 ,031-338-5155,"염소탕,전골",162,처인구 양지면,2022-07-21
재지정,2000-07-15,2018-11-12,늘봄공원,경기도 용인시 처인구 이동읍 백옥대로 500,경기도 용인시 처인구 이동읍 덕성리 584 - 15  ,031-333-2990,등심,128.42,처인구 이동읍,2022-07-21
재지정,2002-04-10,2018-11-12,주식회사엠스윙(포시즌),경기도 용인시 처인구 백옥대로 1311 (유방동),경기도 용인시 처인구 유방동 107 - 3  ,031-322-4588,"자장면, 짬뽕",836.61,처인구 유림동,2022-07-21
재지정,2002-04-10,2016-07-12,대원생고기전문점,"경기도 용인시 처인구 용문로 82 (역북동,(지층,1층,2층))","경기도 용인시 처인구 역북동 482 (지층,1층,2층) ",031-337-2770,"등심,삼겹살",307.15,처인구 역삼동,2022-07-21
