시군명,관리번호,인허가일자,사업장명,통합영업상태명,영업상태명,소재지시설전화번호,소재지면적(㎡),소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도,업태구분명정보,X좌표값,Y좌표값
용인시,4050000-201-2006-00002,20060728,오스카호텔,영업/정상,영업,031 337 0015,"1,897.63",경기도 용인시 처인구 금령로90번길 3-10,경기도 용인시 처인구 김량장동 88 외1필지 ,17051,37.23501405,127.2068373,일반호텔,218281.9812,414807.8019
용인시,4050000-201-2003-10011,20031107,호텔 M7,영업/정상,영업,031 275 6900,"1,547.32",경기도 용인시 기흥구 갈천로7번길 51 (신갈동),경기도 용인시 기흥구 신갈동 71-30 ,446597,37.27037764,127.1050427,일반호텔,209245.4726,418715.7922
용인시,4050000-201-2016-00002,20160503,(주)더숨디앤씨,영업/정상,영업,15222777,"4,912.17","경기도 용인시 처인구 포곡읍 성산로 633, A,B,C,D,E동","경기도 용인시 처인구 포곡읍 전대리 473-13번지 A,B,C,D,E동 ",449815,37.2867977,127.208289,관광호텔,218403.9134,420565.2682
용인시,4050000-201-1984-00004,19840724,양지장,영업/정상,영업,031 338 3724,371.86,경기도 용인시 처인구 양지면 양지로 142-5,경기도 용인시 처인구 양지면 양지리 575-2 ,449823,37.23405329,127.2840651,여관업,225138.846,414724.1753
용인시,4050000-201-2016-00004,20161215,레미니스호텔,영업/정상,영업,031 286 5121,"1,004.49",경기도 용인시 기흥구 기흥단지로 53 (고매동),경기도 용인시 기흥구 고매동 411-22 ,446901,37.2257925,127.1044638,일반호텔,209213.041,413769.0575
용인시,4050000-201-2007-00002,20071115,라고,영업/정상,영업,031 281 3601,"2,629.30",경기도 용인시 기흥구 신정로237번길 5-5 (신갈동),경기도 용인시 기흥구 신갈동 536-5 ,446599,37.28857656,127.0969489,일반호텔,208536.2626,420741.0129
용인시,4050000-201-2017-00002,20170214,나인,영업/정상,영업,031 333 1919,"1,405.71",경기도 용인시 처인구 원삼면 좌전로 142,경기도 용인시 처인구 원삼면 좌항리 20-9번지 ,449871,37.2082236,127.3204226,숙박업 기타,228378.2917,411871.7023
용인시,4050000-201-2017-00001,20170123,홈브리지캐빈호스텔,영업/정상,영업,031 320 9740,"5,815.00","경기도 용인시 처인구 포곡읍 에버랜드로 199, 삼성에버랜드",경기도 용인시 처인구 포곡읍 전대리 310 삼성에버랜드 ,449715,37.28996008,127.2165862,숙박업 기타,219138.4246,420903.9648
용인시,4050000-201-2004-10009,20041108,코리아골프빌리지 대우그린카운티,영업/정상,영업,031 2869111,"19,183.84",경기도 용인시 기흥구 기흥단지로 415 (고매동),경기도 용인시 기흥구 고매동 30-2번지 ,446901,37.2209982,127.1372749,휴양콘도미니엄업,212117.592,413250.6122
용인시,4050000-201-2014-00002,20141029,써닝텔,영업/정상,영업,031 329 0714,508.08,경기도 용인시 처인구 백암면 고안로51번길 205,"경기도 용인시 처인구 백암면 고안리 633-4 1,2층 ",449863,37.14309933,127.4202109,일반호텔,237217.0749,405194.4055
용인시,4050000-201-2008-00002,20081024,호텔몬트,영업/정상,영업,031 2750700,"2,402.57",경기도 용인시 기흥구 신정로237번길 5-6 (신갈동),경기도 용인시 기흥구 신갈동 536-6 ,446599,37.28862028,127.0965538,일반호텔,208475.7755,420753.2851
