골프장명,주소,Latitude,Longitude,홀수,면적
플라자(한화호텔앤드리조트㈜),경기도 용인시 처인구 남사면 봉무로 153번길 79,37.1298157,127.1481393,36,"1,899,082"
골드(기흥관광개발),경기도 용인시 기흥구 기흥단지로 398,37.2179485,127.1363394,36,"1,366,197"
태광(태광관광개발),경기도 용인시 기흥구 흥덕4로 77,37.278537,127.0890729,27,"1,088,905"
태광대중(태광관광개발),경기도 용인시 기흥구 흥덕4로 77(영덕동),37.278537,127.0890729,9,"391,788"
한원(한원),경기도 용인시 처인구 남사면 전나무골길 2번길 94,37.1539837,127.1251623,27,"1,035,930"
파인리조트,경기도 용인시 처인구 양지면 남평로 112,37.2133912,127.2905629,27,"1,672,074"
화산(화산개발),경기도 용인시 처인구 이동읍 화산로 239,37.1470135,127.2341244,18,"1,039,272"
수원,경기도 용인시 기흥구 중부대로 495,37.2812982,127.1203236,36,"1,482,979"
한성(한성관광개발),경기도 용인시 기흥구 구교동로 151,37.3055446,127.1227395,27,"1,411,398"
88(국가보훈처),경기도 용인시 기흥구 석성로 521번길 169,37.3003261,127.1622551,36,"2,814,762"
남부(금보개발),경기도 용인시 기흥구 사은로 163(보라동),37.267571,127.1186185,18,"964,521"
신원(일신레져),경기도 용인시 처인구 이동읍 이원로 225,37.1774981,127.2440692,27,"1,721,377"
금호리조트㈜,경기도 용인시 처인구 양지면 양대로 290,37.2551514,127.2928669,36,"2,230,679"
은화삼(은화삼컨트리클럽㈜),경기도 용인시 처인구 백옥대로 860-38,37.215123,127.2200265,18,"946,086"
지산(지산리조트),경기도 용인시 처인구 원삼면 죽양대로 2000번길 60,37.2160395,127.336595,27,"1,527,293"
지산대중(지산리조트),경기도 용인시 처인구 원삼면 죽양대로 2000번길 60,37.2160395,127.336595,9,"184,356"
코리아(뉴경기관광),경기도 용인시 기흥구 기흥단지로 579,37.220232,127.1504363,27,"1,351,017"
코리아대중,경기도 용인시 기흥구 기흥단지로 224,37.2251342,127.1175575,9,"229,181"
레이크사이드,경기도 용인시 처인구 모현읍 능원로 181,37.3271995,127.1758967,18,"973,962"
레이크사이드대중,경기도 용인시 처인구 모현읍 능원로 181,37.3271995,127.1758967,36,"3,198,002"
블루원용인,경기도 용인시 처인구 원삼면 보개원삼로 1534번길 40,37.1341408,127.3259239,18,"1,079,049"
블루원용인 대중,경기도 용인시 처인구 원삼면 보개원삼로 1534번길 40,37.1341408,127.3259239,9,"439,688"
레이크힐스용인,경기도 용인시 처인구 남사면 경기동로 628,37.1297398,127.1893645,27,"1,584,819"
글렌로스대중,경기도 용인시 처인구 포곡읍 에버랜드로 562번길 69,37.2944679,127.1857224,9,"465,916"
용인대중,경기도 용인시 처인구 백암면 황새울로 255,37.1106922,127.3443132,9,"221,886"
석천 대중,경기도 용인시 처인구 백암면 황새울로 255,37.1106922,127.3443132,9,"241,685"
용인FLC(㈜,경기도 용인시 처인구 백암면 고안로 51번길 205,37.1430667,127.4202003,18,"1,032,853"
해솔리아CC,경기도 용인시 처인구 이동읍 백자로 297번길 74,37.206939,127.1814106,27,"1,666,810"
