시군명,사업장명,인허가일자,영업상태명,소재지시설전화번호,도로명우편번호,소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도,X좌표값,Y좌표값,문화체육업종명,문화사업자구분명,건물용도명,공연장형태구분명
용인시,CGV죽전 스타관,20070322,영업중,,16896,"경기도 용인시 수지구 포은대로 536, 8층 (죽전동, 신세계백화점)",경기도 용인시 수지구 죽전동 1285 신세계백화점 8F ,16896,37.32500317,127.1081093,209514.368,424782.5285,영화상영관,영화상영관,문화시설,영화관
용인시,CGV동백 제7관,20061107,영업중,,17006,"경기도 용인시 기흥구 동백죽전대로 444, 7001호 (중동, 쥬네브썬월드)",경기도 용인시 기흥구 중동 833번지 쥬네브썬월드빌딩 7001호,17006,37.2779622,127.1516621,213383.9778,419575.3412,영화상영관,영화상영관,,영화관
용인시,루블루시네마 3관,20091104,영업중,282-1681,17067,경기도 용인시 기흥구 신갈로 32  (상갈동),경기도 용인시 기흥구 상갈동 100번지,17067,37.269325,127.1058267,209320.2516,418611.389,영화상영관,,문화시설,영화관
용인시,회성극장,20030116,영업중,335-4132,,경기도 용인시 처인구 백옥대로 1131  (김량장동),경기도 용인시 처인구 김량장동 139-7번지,449924,37.2365202,127.2083216,218419.9586,414986.6852,영화상영관,영화상영관,근린생활시설,영화관
용인시,롯데시네마 용인기흥 3관,20180911,영업중,,17065,"경기도 용인시 기흥구 기흥역로 63, 102동 5층 (구갈동, 힐스테이트 기흥)",경기도 용인시 기흥구 구갈동 234 힐스테이트 기흥 ,17065,37.27533201,127.1177629,210428.5473,419112.7835,영화상영관,,,영화관
용인시,루블루시네마 5관,20091104,영업중,282-1681,17067,경기도 용인시 기흥구 신갈로 32  (상갈동),경기도 용인시 기흥구 상갈동 100번지,17067,37.269325,127.1058267,209320.2516,418611.389,영화상영관,,문화시설,영화관
용인시,CGV 용인 1관,20090825,영업중,031-337-3421,17051,"경기도 용인시 처인구 금령로 86, 5~8층 (김량장동, 시네마일번가)",경기도 용인시 처인구 김량장동 301-3번지 시네마일번가 5~8층 ,17051,37.2349655,127.2059622,218209.5417,414813.228,영화상영관,,문화시설,영화관
용인시,CGV 광교상현 1관,20180816,영업중,,16944,"경기도 용인시 수지구 광교중앙로295번길 9, 3층 (상현동)",경기도 용인시 수지구 상현동 1116-4번지 ,16944,37.29684222,127.0680481,205967.9253,421662.9071,영화상영관,,,영화관
용인시,롯데시네마 동백쥬네브 제8관,20061107,영업중,715-5427,,경기도 용인시 기흥구 동백죽전대로 444(중동),경기도 용인시 기흥구 동백동 동백택지개발지구 2101블럭,446911,37.2785086,127.1611008,,,영화상영관,영화상영관,,영화관
용인시,CGV죽전 7관,20070322,영업중,,16896,"경기도 용인시 수지구 포은대로 536, 8층 (죽전동, 신세계백화점)",경기도 용인시 수지구 죽전동 1285 신세계백화점 8F ,16896,37.32500317,127.1081093,209514.368,424782.5285,영화상영관,영화상영관,문화시설,영화관
