시군명,사업장명,인허가일자,영업상태명,소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도,문화체육업종명,설립운영주체구분명,박물관미술관종류명,박물관미술관유형명
용인시,용인시박물관,20091230,운영중,"경기도 용인시 기흥구 동백3로 79-0 (중동,용인동백문화유적전시관)",경기도 용인시 기흥구 중동 862번지 0호,17005,37.27392025,127.1571468,박물관,공립,1종,전문박물관
용인시,예아리박물관,20130610,운영중,경기도 용인시 처인구 백암면 삼백로785번길 64,경기도 용인시 처인구 백암면 근삼리 389번지 1호,17181,37.14132675,127.3642626,박물관,사립,1종,전문박물관
용인시,삼성교통박물관,19970604,운영중,경기도 용인시 처인구 포곡읍 에버랜드로376번길 171,경기도 용인시 처인구 포곡읍 유운리 292번지,17022,37.30020595,127.2178674,박물관,사립,1종,전문박물관
용인시,명지대학교박물관,20010611,운영중,경기도 용인시 처인구 명지로 116(남동),경기도 용인시 처인구 남동 산 38번지,17058,,,박물관,대학,1종,종합박물관
용인시,한국등잔박물관,19971001,운영중,경기도 용인시 처인구 모현읍 능곡로56번길 8-0 (등잔박물관),경기도 용인시 처인구 모현면 능원리 9번지,16886,37.33658915,127.1778595,박물관,사립,1종,종합박물관
용인시,백남준 아트센터,20080917,운영중,경기도 용인시 기흥구 상갈로 6 (상갈동),경기도 용인시 기흥구 상갈동 85번지,17072,37.26820009,127.1089114,미술관,사립,1종,미술관
용인시,신영숙 컬렉션,20130701,운영중,경기도 용인시 기흥구 흥덕4로 63 (영덕동),경기도 용인시 기흥구 영덕동 55번지 1호,16949,37.27731264,127.0900943,박물관,사립,1종,전문박물관
용인시,설민민화박물관,20150126,운영중,경기도 용인시 처인구 동부로 823 (해곡동),경기도 용인시 처인구 해곡동 154번지 1호,17142,37.18930339,127.2770606,박물관,사립,2종,
용인시,경희대 혜정박물관,20050201,운영중,경기도 용인시 기흥구 덕영대로 1732 (서천동),경기도 용인시 기흥구 서천동 1번지,17104,37.24367046,127.0767015,박물관,대학,1종,종합박물관
용인시,한국민속촌박물관,19981019,운영중,경기도 용인시 기흥구 민속촌로 90 (보라동),경기도 용인시 기흥구 보라동 31번지,17075,37.26091947,127.120813,박물관,사립,1종,종합박물관
용인시,마가미술관,20020312,운영중,경기도 용인시 처인구 모현면 문형동림로101번길 37,경기도 용인시 처인구 모현면 동림리 263번지,16888,37.33177038,127.1927917,미술관,사립,1종,미술관
용인시,삼성화재교통박물관,19970604,운영중,경기도 용인시 처인구 포곡읍 에버랜드로376번길 171-0 (삼성교통박물관),경기도 용인시 처인구 포곡읍 유운리 292번지,17022,37.30037208,127.2169533,박물관,사립,1종,전문박물관
용인시,한국미술관,20061205,운영중,경기도 용인시 기흥구 마북로 244-2 (마북동),경기도 용인시 기흥구 마북동 73번지 1호,16891,37.30897189,127.1319469,미술관,사립,1종,미술관
용인시,호암미술관,20080704,운영중,경기도 용인시 처인구 포곡읍 에버랜드로562번길 38,경기도 용인시 처인구 포곡읍 가실리 204번지,17021,37.29321665,127.1923281,미술관,사립,1종,종합박물관
용인시,용인문화유적전시관,20091230,운영중,"경기도 용인시 기흥구 동백3로 79-0 (중동,용인동백문화유적전시관)",경기도 용인시 기흥구 중동 862번지 0호,17005,37.27392025,127.1571468,박물관,공립,1종,전문박물관
용인시,이영미술관,20010611,운영중,경기도 용인시 기흥구 흥덕4로 63 (영덕동),경기도 용인시 기흥구 영덕동 221번지,16949,37.27731264,127.0900943,미술관,사립,1종,미술관
용인시,안젤리미술관,20150107,운영중,경기도 용인시 처인구 이동면 이원로 244,경기도 용인시 처인구 이동면 묵리 724번지 4호,17132,37.18451212,127.2313113,미술관,사립,1종,미술관
용인시,삶의 이야기가 있는 집,20080205,운영중,경기도 용인시 처인구 원삼면 내동로 50-13,경기도 용인시 처인구 원삼면 사암리 883번지 1호,17167,37.17385104,127.2958955,박물관,사립,2종,기념관
용인시,경기도박물관,19921123,운영중,경기도 용인시 기흥구 상갈로 6 (상갈동),경기도 용인시 기흥구 상갈동 85번지,17072,37.26820009,127.1089114,박물관,공립,1종,종합박물관
용인시,둥지박물관,20040420,운영중,경기도 용인시 처인구 원삼면 후평로 165-15,경기도 용인시 처인구 원삼면 죽능리 1번지 2호,17170,37.14095913,127.32455,박물관,사립,1종,전문박물관
용인시,단국대학교 석주선기념박물관,20010611,운영중,경기도 용인시 수지구 죽전로 152 (죽전동),경기도 용인시 수지구 죽전동 126번지,16890,37.31979601,127.1314427,박물관,대학,1종,종합박물관
용인시,신세계 한국상업사박물관,20060725,운영중,경기도 용인시 처인구 남사면 화곡로 77,경기도 용인시 처인구 남사면 창리 256번지 1호,17116,37.15040473,127.1812523,박물관,사립,1종,전문박물관
용인시,용인대학교 박물관,20050901,운영중,경기도 용인시 처인구 용인대학로 134 (삼가동),경기도 용인시 처인구 삼가동 470번지,17092,37.2271816,127.1662526,박물관,대학,1종,종합박물관
용인시,신영숙콜렉션,20130701,운영중,경기도 용인시 기흥구 흥덕4로 63 (영덕동),경기도 용인시 기흥구 영덕동 55번지 1호,16949,37.27731264,127.0900943,박물관,사립,1종,전문박물관
용인시,디아모레 뮤지움 박물관,19791212,폐업 등,경기 용인시 기흥구 용구대로 1920,경기도 용인시 기흥구 보라동 1번지,,37.26477074,127.1287735,박물관,사립,1종,전문박물관
