시군명,시설구분명,시장명,소재지우편번호,소재지도로명주소,소재지지번주소,WGS84위도,WGS84경도
용인시,로컬푸드직매장,수지농협,16835,경기도 용인시 수지구 문정로 20,경기도 용인시 수지구 풍덕천동 719-4번지,37.3226195,127.0963547
용인시,전통시장,죽전로데오상점가시장,16869,경기도 용인시 수지구 용구대로 2725-3,경기도 용인시 수지구 죽전동 1003-52번지,37.328761,127.108104
용인시,로컬푸드직매장,구성농협,16920,경기도 용인시 기흥구 구성로 40,경기도 용인시 기흥구 마북동 325-3번지,37.294267,127.1140485
용인시,로컬푸드직매장,포곡농협,17028,경기도 용인시 처인구 포곡읍 포곡로246번길 8,경기도 용인시 처인구 포곡읍 삼계리 578번지,37.276352,127.2295709
용인시,전통시장,용인중앙시장,17052,경기도 용인시 처인구 금령로99번길 9,경기도 용인시 처인구 김량장동 133-31번지,37.236506,127.207071
용인시,로컬푸드직매장,원삼농협,17168,경기도 용인시 처인구 원삼면 고당로 24,경기도 용인시 처인구 원삼면 고당리 49-4번지,37.1648674,127.3095117
용인시,로컬푸드직매장,로컬푸드행복장터,16867,경기도 용인시 수지구 경부고속도로 400,경기도 용인시 수지구 죽전동 866-2번지,37.3324518,127.1045475
용인시,대규모점포,롯데쇼핑(주) 롯데마트 수지점,16923,경기도 용인시 기흥구 진산로 116 (보정동),경기도 용인시기흥구 보정동 266번지 4호,37.32070692,127.0993872
용인시,대규모점포,농협 하나로클럽 기흥점,446515,경기도 용인시 기흥구 중부대로 682 (상하동),경기도 용인시 기흥구 상하동 351번지,37.265853,127.1360242
용인시,대규모점포,한섬 패션웨어하우스,446902,경기도 용인시 기흥구 공세로 186 (공세동),경기도 용인시 기흥구 공세동,37.23880693,127.1039222
용인시,대규모점포,신세계이마트수지점,16816,경기도 용인시 수지구 수지로 203,경기도 용인시수지구 신봉동 17호   ,37.3221809,127.0796905
용인시,대규모점포,코스트코 홀세일 공세점,446902,경기도 용인시 기흥구 탑실로 38-0 (공세동),경기도 용인시 기흥구 공세동 734번지 1호,37.23831883,127.1089418
용인시,대규모점포,주식회사 신세계 경기점,448702,경기도 용인시 수지구 포은대로 536 (죽전동),경기도 용인시 수지구 죽전2동 (주)신세계백화점죽전점,37.32500317,127.1081093
