시군명,구분명,주소,Latitude,Longitude,우편번호,전화번호안내,데이터기준일자
용인시,용인시청,경기도 용인시 처인구 중부대로 1199(삼가동),37.240608,127.1772935,17019,1577-1122,2019-04-04
용인시,처인구청,경기도 용인시 처인구 금령로 50(김량장동),37.2344735,127.2014077,17049,031-324-5023,2019-04-04
용인시,포곡읍,경기도 용인시 처인구 포곡읍 포곡로 258(삼계리),37.2777155,127.2309574,17028,031-324-5531,2019-04-04
용인시,모현읍,경기도 용인시 처인구 모현면 독점로 31-6(갈담리),37.3294787,127.2422761,17036,031-324-5592,2019-04-04
용인시,남사면,경기도 용인시 처인구 남사면 내기로 22(봉무리),37.115301,127.1502137,17118,031-324-5641,2019-04-04
용인시,이동읍,경기도 용인시 처인구 이동면 경기동로 673(송전리),37.12746,127.1893731,17136,031-324-5691,2019-04-04
용인시,원삼면,경기도 용인시 처인구 원삼면 원양로 64(고당리),37.1653644,127.3103786,17168,031-324-5742,2019-04-04
용인시,백암면,경기도 용인시 처인구 백암면 백암로 189(백암리),37.1636946,127.3753866,17178,031-324-5792,2019-04-04
용인시,양지면,경기도 용인시 처인구 양지면 양지로105번길 5(양지리),37.2357405,127.2801214,17158,031-324-5842,2019-04-04
용인시,중앙동,경기도 용인시 처인구 금령로78번길 7(김량장동),37.2341249,127.2051699,17051,031-324-5894,2019-04-04
용인시,역삼동,경기도 용인시 처인구 명지로 16(역북동),37.2345179,127.1879177,17055,031-324-5921,2019-04-04
용인시,유림동,경기도 용인시 처인구 백옥대로 1315(유방동),37.2524204,127.2117187,17043,031-324-5954,2019-04-04
용인시,동부동,경기도 용인시 처인구 중부대로 1574(마평동),37.2327418,127.2191418,17144,031-324-5982,2019-04-04
용인시,기흥구청,경기도 용인시 기흥구 관곡로 95(구갈동),37.2802242,127.1151398,16963,031-324-6023,2019-04-04
용인시,신갈동,경기도 용인시 기흥구 신갈로58번길 11(신갈동),37.2725093,127.1070081,16969,031-324-6612,2019-04-04
용인시,영덕동,경기도 용인시 기흥구 흥덕2로 118번길 2(영덕동),37.2718661,127.0737664,16953,031-324-6803,2019-04-04
용인시,구갈동,경기도 용인시 기흥구 강남로 23(구갈동),37.2724176,127.1275789,16977,031-324-6631,2019-04-04
용인시,상갈동,경기도 용인시 기흥구 상갈로 2(상갈동),37.2665434,127.1076299,17072,031-324-6641,2019-04-04
용인시,기흥동,경기도 용인시 기흥구 고매로43번길 12-14(공세동),37.2322301,127.1143893,17085,031-324-6678,2019-04-04
용인시,서농동,경기도 용인시 기흥구 서천동로 94(농서동),37.2403129,127.0755947,17108,031-324-6681,2019-04-04
용인시,구성동,경기도 용인시 기흥구 구성로77번길 17(언남동),37.2965012,127.1189634,16917,031-324-6711,2019-04-04
용인시,마북동,경기도 용인시 기흥구 구교동로118번길 16(마북동),37.3022246,127.1173194,16910,031-324-6732,2019-04-04
용인시,동백동,경기도 용인시 기흥구 동백중앙로 214(중동),37.2705385,127.1563635,17007,031-324-6893,2019-04-04
용인시,상하동,경기도 용인시 기흥구 어정로 62-23(상하동),37.2702308,127.1380528,16994,031-324-6795,2019-04-04
용인시,보정동,경기도 용인시 기흥구 죽전로 40(보정동),37.3266759,127.1253051,16898,031-324-6772,2019-04-04
용인시,수지구청,경기도 용인시 수지구 포은대로 435(풍덕천동),37.3241541,127.0932899,16835,031-324-8022,2019-04-04
용인시,풍덕천1동,경기도 용인시 수지구 수지로342번길 3(풍덕천동),37.3278713,127.0950572,16832,031-324-8602,2019-04-04
용인시,풍덕천2동,경기도 용인시 수지구 풍덕천로 51(풍덕천동),37.3193826,127.0886558,16844,031-324-8633,2019-04-04
용인시,신봉동,경기도 용인시 수지구 수지로 215(신봉동),37.3206332,127.0836188,16845,031-324-8642,2019-04-04
용인시,죽전1동,경기도 용인시 수지구 대지로15번길 50(죽전동),37.3309473,127.1138276,16872,031-324-8662,2019-04-04
용인시,죽전2동,경기도 용인시 수지구 포은대로 523(죽전동),37.3324967,127.1128141,16870,031-324-8693,2019-04-04
용인시,동천동,경기도 용인시 수지구 신수로783번길 40(동천동),37.341641,127.0989977,16825,031-324-8702,2019-04-04
용인시,상현1동,경기도 용인시 수지구 상현로 71(상현동),37.3045954,127.0811366,16937,031-324-8733,2019-04-04
용인시,상현2동,경기도 용인시 수지구 만현로 48(상현동),37.3121418,127.0872845,16929,031-324-8752,2019-04-04
용인시,성복동,경기도 용인시 수지구 성복1로 100(성복동),37.3164107,127.0689606,16852,031-324-8772,2019-04-04
