시군명,인허가일자,사업장명,통합영업상태명,폐업일자,소재지시설전화번호,소재지도로명주소,소재지지번주소,소재지우편번호,위도,경도,업태구분명정보,X좌표값,Y좌표값,의료기관종별명,총면적
용인시,20070105,(의)명지의료재단 명지엘펜하임의원,폐업,20100809,031-321-2911,경기 용인시 처인구 명지로116번길 9-70,경기도 용인시 처인구 남동 산 33번지,,,,의원,,,의원,497.1
용인시,20150313,(홍인의료소비자생활협동조합)우리현대의원,영업/정상,,031-338-8012,경기 용인시 처인구 양지면 양지로 137,,,,,의원,225103.7805,414793.2321,의원,227.16
용인시,20140627,24까페거리의원,영업/정상,,031-265-1270,경기도 용인시 기흥구 죽전로15번길 11-15 (보정동),경기도 용인시 기흥구 보정동 1187번지 2호,16897,37.3214283,127.1091921,의원,209639.53,424432.15,의원,70
용인시,20051019,365일이가편한연세치과의원,폐업,20090119,031-283-3651,"경기도 용인시 기흥구 마북로 126 204호 (마북동,현대타운)",경기도 용인시 기흥구 마북동168번지6 현대타운 204호,16910,37.3014858,127.1216837,치과의원,,,치과의원,50
용인시,20100121,365일이가편한연세치과의원,영업/정상,,031-283-3651,"경기도 용인시 기흥구 마북로 164, 203호 (마북동, 테라스가든 A빌딩)",경기도 용인시 기흥구 마북동 182번지 204호,16911,37.3039632,127.1243095,치과의원,210951.8124,422446.8171,치과의원,110
용인시,20060515,365튼튼연합의원,폐업,20190222,031-276-7592,"경기도 용인시 수지구 만현로 82-4, 404호 (상현동, 헤르메스상가)",경기도 용인시 수지구 상현동 66번지 2호 헤르메스상가 404호,16929,37.30942744,127.0857688,의원,207538.2772,423061.2519,의원,141.2
용인시,20050308,365플러스이비인후과의원,영업/정상,,031-898-3654,"경기도 용인시 기흥구 죽전로 53, 404호 (보정동, 야후빌딩)",경기도 용인시 기흥구 보정동 1208번지 3호 야후빌딩 404호,16898,37.3206755,127.1146063,의원,210093.1225,424310.3356,의원,89
용인시,20180927,365한숲가정의학과의원,영업/정상,,031-338-3365,"경기도 용인시 처인구 남사면 한숲로 45, 한숲스퀘어옐로우 4층 415호",경기도 용인시 처인구 남사면 아곡리 694번지,17117,37.1528196,127.1701931,의원,,,의원,180
용인시,20181128,365화이팅한의원,영업/정상,,031-308-3275,경기 용인시 기흥구 기흥역로 63,,,,,한의원,210428.5473,419112.7835,한의원,127.8
용인시,20191029,365힐링의원,영업/정상,,031-8023-5365,경기 용인시 기흥구 죽전로 49,,,,,의원,210058.1475,424310.3344,의원,333.78
용인시,20070314,Bes의원,폐업,20120104,031-695-1940,"경기도 용인시 수지구 포은대로 536 8층 (죽전동,신세계죽전점주차빌딩)",경기도 용인시 수지구 죽전동 1289 신세계 죽전점 주차빌딩 8층,16896,37.324647,127.1068499,의원,,,의원,234.43
용인시,20050304,EB치과의원,폐업,20070330,031-263-1130,"경기도 용인시 기흥구 보정로 30 상가 209호 (보정동,동아솔레시티아파트)",경기도 용인시 기흥구 보정동 1162번지 동아솔래시티상가209호,16903,37.3114599,127.1125735,치과의원,,,치과의원,67.76
용인시,20111130,G7치과의원,영업/정상,,031-263-2275,"경기도 용인시 수지구 만현로 110 (상현동, 원희캐슬프라자 A동 401,402호)",경기도 용인시 수지구 상현1동 254번지 14호,16930,37.30676003,127.0846083,치과의원,207423.6344,422761.1441,치과의원,296.27
용인시,20160418,I-플러스치과의원,영업/정상,,031-214-2821,"경기도 용인시 기흥구 흥덕2로87번길 18, 이씨티 A동 210호 (영덕동)",경기도 용인시 기흥구 영덕동 985-1 이씨티,16954,37.27591306,127.0715918,치과의원,206306.3019,419313.9552,치과의원,193.8
용인시,20160706,JK서울안과의원,영업/정상,,031-216-0050,"경기도 용인시 수지구 광교중앙로 304, 301, 302호 (상현동, 미주프라자)","경기도 용인시 수지구 상현동 1131-6번지 미주프라자 301, 302호",16943,37.2969855,127.0695482,의원,206091,421693,의원,288
용인시,20070418,M&M 소아과의원,폐업,20180630,031-8005-8488,"경기도 용인시 기흥구 동백5로 21-11 (중동, 동백 훼미리프라자 1)",경기도 용인시 기흥구 중동 832번지 1호,17006,37.2774653,127.1527097,의원,213479.0698,419519.2291,의원,247.5
용인시,20050509,NYU아름다운치과교정과치과의원,영업/정상,,031-896-7528,"경기도 용인시 수지구 문정로7번길 20, 501호 (풍덕천동, 혜명빌딩)",경기도 용인시 수지구 풍덕천동 1082번지 13호 혜명빌딩 501호,16841,37.32101015,127.0947668,치과의원,208329.1319,424335.0951,치과의원,174.7
용인시,20091110,OK의원,영업/정상,,"031-337-2171,2172","경기도 용인시 처인구 양지면 남평로 234, 4층",경기도 용인시 처인구 양지면 제일리 331번지 5호 4층,17162,37.22802858,127.3065897,의원,203828,417472,의원,133.11
용인시,20070330,SB성형외과의원,폐업,20200416,031-889-9513,"경기도 용인시 기흥구 죽전로 2, 304,305호 (보정동, 현타워)",경기도 용인시 기흥구 보정동 1261번지 2호,16897,37.32020166,127.1089807,의원,209590.7162,424244.8252,의원,184.8
용인시,20130524,SJ美의원,영업/정상,,031-548-0071,"경기도 용인시 수지구 문정로 32, 5층 (풍덕천동)",경기도 용인시 수지구 풍덕천동 712번지 2호 5층,16837,37.32336803,127.0954982,의원,208396.7135,424617.5327,의원,192.65
용인시,20130208,SOK수지속편한내과의원,영업/정상,,031-264-5088,경기 용인시 수지구 손곡로 95,,,,,의원,208065.7181,425997.5714,의원,210.57
용인시,20061127,SR부부치과의원,폐업,20081031,031-898-2835,"경기도 용인시 수지구 만현로 120 214호 (상현동,에스알프라자)",경기도 용인시 수지구 상현동 251 SR프라자 214호,16930,37.3057879,127.084806,치과의원,,,치과의원,108.8
용인시,20170928,THE웃는치과의원,영업/정상,,031-337-2879,경기 용인시 처인구 명지로40번길 4,,,,,치과의원,216622.3406,414549.9926,치과의원,173
용인시,20080904,U-그린치과의원,영업/정상,,031-276-2801,경기 용인시 수지구 광교중앙로 298,,,,,치과의원,206087.7398,421622.2865,치과의원,79.3
용인시,20050224,UIC시카고치과의원,폐업,,031-266-0775,"경기도 용인시 수지구 현암로 131 303호 (죽전동,C.H리베로2차)",경기도 용인시 수지구 죽전동 1602-3 리베로303호,16876,37.3319021,127.1238755,치과의원,,,치과의원,94.19
용인시,19971204,e편한치과의원,영업/정상,,031-281-8181,경기도 용인시 기흥구 중부대로 343-1 (신갈동),경기도 용인시 기흥구 신갈동 59번지 4호,16967,37.2716864,127.105052,치과의원,209250.8701,418871.6438,치과의원,198.34
용인시,20050611,e프란트치과의원,영업/정상,,031-608-2875,"경기도 용인시 수지구 문인로54번길 2, 405~406호 (동천동, 수지하우비)",경기도 용인시 수지구 동천동 887번지 수지하우비 405~406호,16828,37.333512,127.0973273,치과의원,208559.9451,425733.1292,치과의원,211.2
용인시,20041129,e프랜드치과의원,폐업,20180827,031-275-2875,"경기도 용인시 기흥구 강남로 8, 502호 (구갈동, 우성메디아피아)",경기도 용인시 기흥구 구갈동 595번지,16978,37.2707912,127.1272389,치과의원,211220.7173,418776.3315,치과의원,113.75
용인시,20050418,e화이트치과의원,영업/정상,,031-896-7475,"경기도 용인시 기흥구 보정로 109, 405호 (보정동, 현대프라자)",경기도 용인시 기흥구 보정동 1266번지 3호,16898,37.31949189,127.1151919,치과의원,210135.9957,424170.3824,치과의원,105
