시군명,사업장명,소재지도로명주소,소재지지번주소,소재지우편번호,위도,경도,
용인시,#신슨즈(#Shinsons),경기도 용인시 기흥구 서그내로15번길 34 (서천동),경기도 용인시 기흥구 서천동 9-3번지,17104,37.2464876,127.0768072,
용인시,(Agit)아지트,"경기도 용인시 처인구 금령로27번길 6-1, 1층 일부 (김량장동)",경기도 용인시 처인구 김량장동 321-11 1층 일부 ,17050,37.23543668,127.1992371,
용인시,(B.H.C)비에이치씨 용인송전점,경기도 용인시 처인구 이동읍 경기동로687번길 6 (1층일부),경기도 용인시 처인구 이동읍 송전리 715-8 1층일부 ,17136,37.14013437,127.1972165,
용인시,(BBQ)비비큐치킨용인둔전점,경기도 용인시 처인구 포곡읍 포곡로 82 (외1필지 1층일부),경기도 용인시 처인구 포곡읍 둔전리 386-12번지 외1필지 1층일부,17027,37.2679091,127.2151261,
용인시,(BBQ)풍덕천중앙점,"경기도 용인시 수지구 포은대로 319, 2층 204호 (풍덕천동)",경기도 용인시 수지구 풍덕천동 239-3 ,16843,37.31565848,127.0876855,
용인시,(BHC)비에이치씨둔전점,경기도 용인시 처인구 포곡읍 포곡로108번길 5-13,,,,,
용인시,(BHC)비에이치씨역북점,"경기도 용인시 처인구 금학로241번길 11 (역북동, 1층일부)",경기도 용인시 처인구 역북동 377-8 1층일부 ,17046,37.23905604,127.1905753,
용인시,(百康)백강양꼬치훠궈,"경기도 용인시 기흥구 흥덕2로75번길 25-5, 1층 (영덕동)",경기도 용인시 기흥구 영덕동 994-9 1층 ,16954,37.27394741,127.0714225,
용인시,(신)돈이랑찌개랑,"경기도 용인시 처인구 원삼면 죽양대로 1794, 2동 1층",경기도 용인시 처인구 원삼면 맹리 544-9 2동 1층 일부 ,17166,37.19657862,127.3259876,
용인시,(유)아웃백스테이크하우스코리아 경기신세계점,경기도 용인시 수지구 포은대로 536 (주)신세계백화점경기점 7층 일부호 (죽전동),경기도 용인시 수지구 죽전동 1285 (주)신세계백화점경기점 ,16896,37.32500317,127.1081093,
용인시,(주)갈비명가소들녘,"경기도 용인시 처인구 양지면 양지로 242, 1,2층 (외1필지)","경기도 용인시 처인구 양지면 양지리 186-1번지 1,2층 외1필지",17158,37.2351117,127.2954166,
용인시,(주)강가,"경기도 용인시 수지구 성복2로 38, 롯데몰성복점 지하 1층 일부호 (성복동)",경기도 용인시 수지구 성복동 23번지 롯데몰성복점 ,16847,37.31268183,127.083302,
용인시,(주)강지우밥상 용인점,경기도 용인시 처인구 금령로106번길 46-7,경기도 용인시 처인구 김량장동 307-3 외 7필지 ,17051,37.23398195,127.2050262,
용인시,(주)갠지스,"경기도 용인시 기흥구 동백죽전대로 444, 9004호 (중동, 쥬네브썬월드 9층)",경기도 용인시 기흥구 중동 833번지 쥬네브썬월드 9층 9004호,17006,37.2779622,127.1516621,
용인시,(주)교동면옥 용인영덕점,경기도 용인시 기흥구 석현로12번길 30,,,,,
용인시,(주)기흥장례식장,"경기도 용인시 기흥구 하갈로 17 (하갈동,외4필지)",경기도 용인시 기흥구 하갈동 163 외4필지 ,17096,37.25283827,127.1028903,
용인시,(주)깐부 깐부치킨 성복점,경기도 용인시 수지구 성복2로 51 ,,,,,
용인시,(주)남문떡볶이 상현점,"경기도 용인시 수지구 상현로 119-8 (상현동, 성우5차A 상가동 103호)",경기도 용인시 수지구 상현동 843 성우5차A 상가동 103호 ,16937,37.30844103,127.0833013,
용인시,(주)다다푸드,"경기도 용인시 처인구 백암면 백원로 578-1, 1층",경기도 용인시 처인구 백암면 백암리 347-4 1층 ,17178,37.16683121,127.3754919,
용인시,(주)다산홈푸드,"경기도 용인시 처인구 이동읍 백옥대로 513, 1층",경기도 용인시 처인구 이동읍 덕성리 560-5번지 1층 ,17130,37.1831971,127.2029293,
용인시,(주)더박스 하루일과 죽전점,경기도 용인시 수지구 포은대로 536 ,,,,,
용인시,(주)데일리쿡 남동점,"경기도 용인시 처인구 신기로 128, 1층 (남동)",경기도 용인시 처인구 남동 479-2 ,17059,37.21472858,127.2016862,
용인시,(주)독도게찜,"경기도 용인시 기흥구 동백죽전대로527번길 98-41, 101호 (중동)",경기도 용인시 기흥구 중동 1111 101호,16987,37.28396133,127.1417704,
용인시,(주)돈교동 신봉점,"경기도 용인시 수지구 신봉1로 84 (신봉동, 신봉종합상가 217호)",경기도 용인시 수지구 신봉동 40-2 신봉종합상가 217호 ,16815,37.32362315,127.0764567,
용인시,(주)동성식품,"경기도 용인시 처인구 유림로119번길 2, 가동 (유방동, 1층일부)",경기도 용인시 처인구 유방동 621 1층일부 가동 ,17042,37.25965152,127.2004941,
용인시,(주)디에이치골프앤레저,경기도 용인시 처인구 백암면 황새울로 255 (지하1층 일부),경기도 용인시 처인구 백암면 석천리 747-1 지하1층 일부 ,17182,37.1106175,127.3440916,
용인시,(주)만수정,"경기도 용인시 기흥구 신정로 270-4 (보정동, 1,2층)","경기도 용인시 기흥구 보정동 1027-6 1,2층 ",16933,37.2918561,127.099154,
용인시,(주)명지푸드항아리보쌈,"경기도 용인시 처인구 명지로60번길 8-14, 202호 (역북동)",경기도 용인시 처인구 역북동 753-2 202호,17056,37.23221673,127.188033,
용인시,(주)미래엔에듀케어딸기가좋아키즈카페용인점,"경기도 용인시 처인구 중부대로 1294, 더와이스퀘어 3층 301호 (역북동)",경기도 용인시 처인구 역북동 510 ,17054,37.23546252,127.1883127,
