주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,요금정보,관리기관명,전화번호,위도,경도
구갈1리 소공원 주변,공영,노상,경기도 용인시 기흥구 신구로 39,경기도 용인시 기흥구 신갈동 47-2번지,94,1,미시행,평일+토요일+공휴일,무료,용인시 기흥구청,031-324-6351,37.2756292,127.1092742
구갈공원 주변,공영,노상,경기도 용인시 기흥구 관곡로85번길 3-6,경기도 용인시 기흥구 구갈동 359-10번지,106,1,미시행,평일+토요일+공휴일,무료,용인시 기흥구청,031-324-6351,37.2813461,127.1142437
기흥구 맛깔촌 주변,공영,노상,경기도 용인시 기흥구 갈천로 76,경기도 용인시 기흥구 상갈동 101-12번지,40,1,미시행,평일+토요일+공휴일,무료,용인시 기흥구청,031-324-6351,37.2699633,127.1075526
새천년로16번길 주변,공영,노상,경기도 용인시 기흥구 새천년로16번길 3-10,경기도 용인시 기흥구 신갈동 724번지,22,1,미시행,평일+토요일+공휴일,무료,용인시 기흥구청,031-324-6351,37.285772,127.1021053
신갈1리 소공원 주변,공영,노상,경기도 용인시 기흥구 상갈로23번길 17,경기도 용인시 기흥구 상갈동 102-1번지,4,1,미시행,평일+토요일+공휴일,무료,용인시 기흥구청,031-324-6351,37.2684059,127.1059382
유방공영,공영,노외,경기도 용인시 처인구 백옥대로1392번길 29,경기도 용인시 처인구 유방동 288-1번지,88,1,미시행,평일+토요일+공휴일,무료,용인시 처인구청,031-324-5392,37.2594917,127.2161509
김량장 공영,공영,노외,경기도 용인시 처인구 김량장동 505-1,경기도 용인시 처인구 김량장동 505-1,15,1,미시행,평일+토요일+공휴일,무료,용인시 처인구청,031-324-5392,37.2324374,127.198349
역북어린이공원,공영,노외,경기도 용인시 처인구 역북동 725-1,경기도 용인시 처인구 역북동 725-1,20,1,미시행,평일+토요일+공휴일,무료,용인시 처인구청,031-324-5392,37.234298,127.1900148
전대에버랜드역,공영,노외,경기도 용인시 처인구 포곡읍 에버랜드로 143,경기도 용인시 처인구 포곡읍 전대리 192-38번지,16,1,미시행,평일+토요일+공휴일,무료,용인시 처인구청,031-324-5392,37.2853814,127.2193137
마평동 공영,공영,노외,경기도 용인시 처인구 마평동 735-12,경기도 용인시 처인구 마평동 735-12,17,1,미시행,평일+토요일+공휴일,무료,용인시 처인구청,031-324-5392,37.2344158,127.2111782
탄천둔치,공영,노외,경기도 용인시 기흥구 마북동 583-15,경기도 용인시 기흥구 마북동 583-15,130,1,미시행,평일+토요일+공휴일,무료,용인시 기흥구청,031-324-6351,37.2938724,127.1121081
영덕동 공영,공영,노외,경기도 용인시 기흥구 영덕동 937-1,경기도 용인시 기흥구 영덕동 937-1,26,1,미시행,평일+토요일+공휴일,무료,용인시 기흥구청,031-324-6351,37.2676266,127.0754186
수지체육공원,공영,부설,경기도 용인시 수지구 풍덕천동 35,경기도 용인시 수지구 풍덕천동 35,90,1,미시행,평일+토요일+공휴일,무료,용인시 공원녹지과,031-324-4452,37.3277906,127.0972411
포곡읍,공영,부설,경기도 용인시 처인구 포곡읍 포곡로 258,경기도 용인시 처인구 포곡읍 삼계리 588-5번지,79,1,미시행,평일+토요일+공휴일,무료,용인시 포곡읍,031-324-5532,37.2776023,127.2306796
모현면,공영,부설,경기도 용인시 처인구 모현읍 독점로 31-6,경기도 용인시 처인구 모현읍 갈담리 309번지,83,1,미시행,평일+토요일+공휴일,무료,용인시 모현면,031-324-5591,37.3293697,127.2424574
이동면,공영,부설,경기도 용인시 처인구 이동읍 경기동로 673,경기도 용인시 처인구 이동읍 송전리 750-3번지,50,1,미시행,평일+토요일+공휴일,무료,용인시 이동면,031-324-5692,37.1410039,127.1959075
원삼면,공영,부설,경기도 용인시 처인구 원삼면 원양로 64,경기도 용인시 처인구 원삼면 고당리 88-1번지,102,1,미시행,평일+토요일+공휴일,무료,용인시 원삼면,031-324-5741,37.1663358,127.3130641
양지면,공영,부설,경기도 용인시 처인구 양지면 양지로105번길 5,경기도 용인시 처인구 양지면 양지리 701-9번지,45,1,미시행,평일+토요일+공휴일,무료,용인시 양지면,031-324-5841,37.2351945,127.2797303
역삼동,공영,부설,경기도 용인시 처인구 명지로 16,경기도 용인시 처인구 역북동 744번지,50,1,미시행,평일+토요일+공휴일,무료,용인시 역삼동,031-324-5922,37.2345534,127.1880433
유림동,공영,부설,경기도 용인시 처인구 백옥대로 1315,경기도 용인시 처인구 유방동 475-20번지,43,1,미시행,평일+토요일+공휴일,무료,용인시 유림동,031-324-5952,37.2524899,127.2115098
구갈동,공영,부설,경기도 용인시 기흥구 강남로 23,경기도 용인시 기흥구 구갈동 578번지,59,1,미시행,평일,무료,용인시 구갈동,031-324-6633,37.2723226,127.1275233
상갈동,공영,부설,경기도 용인시 기흥구 상갈로 2,경기도 용인시 기흥구 상갈동 472-1번지,21,1,미시행,평일,무료,용인시 상갈동,031-324-6842,37.2664581,127.1077168
기흥동,공영,부설,경기도 용인시 기흥구 고매로43번길 12-14,경기도 용인시 기흥구 공세동 191-3번지,34,1,미시행,평일+토요일+공휴일,무료,용인시 기흥동,031-324-6671,37.2314099,127.1154098
서농동,공영,부설,경기도 용인시 기흥구 서천동로 94,경기도 용인시 기흥구 농서동 427번지 LH부지임대,22,1,미시행,평일+토요일+공휴일,무료,용인시 서농동,031-324-6691,37.2347412,127.0716908
마북동,공영,부설,경기도 용인시 기흥구 구교동로118번길 16,경기도 용인시 기흥구 마북동 162-4번지,80,1,미시행,평일+토요일+공휴일,무료,용인시 마북동,031-324-6721,37.3014538,127.1176345
동백동,공영,부설,경기도 용인시 기흥구 동백중앙로 214,경기도 용인시 기흥구 중동 866-1번지,85,1,미시행,평일+토요일+공휴일,무료,용인시 동백동,031-324-6755,37.2723218,127.1516623
풍덕천1동,공영,부설,경기도 용인시 수지구 수지로342번길 3,경기도 용인시 수지구 풍덕천동 701-1번지,19,1,미시행,평일+토요일+공휴일,무료,용인시 풍덕천1동,031-324-8783,37.3277563,127.0950522
풍덕천2동,공영,부설,경기도 용인시 수지구 풍덕천로 51,경기도 용인시 수지구 풍덕천동 1051-2번지,48,1,미시행,평일+토요일+공휴일,무료,용인시 풍덕천2동,031-324-8622,37.3193726,127.0886565
