,소재지명,도로명,위도,경도,시설구분
0,플라자(한화호텔앤드리조트㈜),경기도 용인시 처인구 남사면 봉무로 153번길 79,37.1298157,127.1481393,골프장
1,골드(기흥관광개발),경기도 용인시 기흥구 기흥단지로 398,37.2179485,127.1363394,골프장
2,태광(태광관광개발),경기도 용인시 기흥구 흥덕4로 77,37.278537,127.0890729,골프장
3,태광대중(태광관광개발),경기도 용인시 기흥구 흥덕4로 77,37.278537,127.0890729,골프장
4,한원(한원),경기도 용인시 처인구 남사면 전나무골길 2번길 94,37.1539837,127.1251623,골프장
5,파인리조트,경기도 용인시 처인구 양지면 남평로 112,37.2133912,127.2905629,골프장
6,화산(화산개발),경기도 용인시 처인구 이동읍 화산로 239,37.1470135,127.2341244,골프장
7,수원,경기도 용인시 기흥구 중부대로 495,37.2812982,127.1203236,골프장
8,한성(한성관광개발),경기도 용인시 기흥구 구교동로 151,37.3055446,127.1227395,골프장
9,88(국가보훈처),경기도 용인시 기흥구 석성로 521번길 169,37.3003261,127.1622551,골프장
10,남부(금보개발),경기도 용인시 기흥구 사은로 163,37.267571,127.1186185,골프장
11,신원(일신레져),경기도 용인시 처인구 이동읍 이원로 225,37.1774981,127.2440692,골프장
12,금호리조트㈜,경기도 용인시 처인구 양지면 양대로 290,37.2551514,127.2928669,골프장
13,은화삼(은화삼컨트리클럽㈜),경기도 용인시 처인구 백옥대로 860-38,37.215123,127.2200265,골프장
14,지산(지산리조트),경기도 용인시 처인구 원삼면 죽양대로 2000번길 60,37.2160395,127.336595,골프장
15,지산대중(지산리조트),경기도 용인시 처인구 원삼면 죽양대로 2000번길 60,37.2160395,127.336595,골프장
16,코리아(뉴경기관광),경기도 용인시 기흥구 기흥단지로 579,37.220232,127.1504363,골프장
17,코리아대중,경기도 용인시 기흥구 기흥단지로 224,37.2251342,127.1175575,골프장
18,레이크사이드,경기도 용인시 처인구 모현읍 능원로 181,37.3271995,127.1758967,골프장
19,레이크사이드대중,경기도 용인시 처인구 모현읍 능원로 181,37.3271995,127.1758967,골프장
20,블루원용인,경기도 용인시 처인구 원삼면 보개원삼로 1534번길 40,37.1341408,127.3259239,골프장
21,블루원용인 대중,경기도 용인시 처인구 원삼면 보개원삼로 1534번길 40,37.1341408,127.3259239,골프장
22,레이크힐스용인,경기도 용인시 처인구 남사면 경기동로 628,37.1297398,127.1893645,골프장
23,글렌로스대중,경기도 용인시 처인구 포곡읍 에버랜드로 562번길 69,37.2944679,127.1857224,골프장
24,용인대중,경기도 용인시 처인구 백암면 황새울로 255,37.1106922,127.3443132,골프장
25,석천 대중,경기도 용인시 처인구 백암면 황새울로 255,37.1106922,127.3443132,골프장
26,용인FLC(㈜,경기도 용인시 처인구 백암면 고안로 51번길 205,37.1430667,127.4202003,골프장
27,해솔리아CC,경기도 용인시 처인구 이동읍 백자로 297번길 74,37.206939,127.1814106,골프장
