,소재지명,도로명,위도,경도,시설구분
0,신전무대,경기도 용인시 처인구 포곡읍 에버랜드로 199,37.28996008,127.2165862,공연장
1,죽전야외음악당,경기도 용인시 수지구 죽전로168번길 9,37.32545921,127.1264825,공연장
2,그랜드 스테이지,경기도 용인시 처인구 포곡읍 에버랜드로 199,37.28996008,127.2165862,공연장
3,평생학습관 큰어울마당,경기도 용인시 수지구 문정로7번길 15,37.32054364,127.0954126,공연장
4,경기도어린이박물관 강당,경기도 용인시 기흥구 상갈로 6,37.2679881,127.1096919,공연장
5,포은아트홀,경기도 용인시 수지구 포은대로 499 ,37.32587019,127.1059038,공연장
6,문화예술원 마루홀,경기도 용인시 처인구 중부대로 1199,37.24087038,127.1779967,공연장
7,경기국악원 국악당,경기도 용인시 기흥구 민속촌로 89,37.2594293,127.1143473,공연장
8,용인시문예회관,경기도 용인시 처인구 중부대로1392번길 15,37.23174897,127.1988572,공연장
9,용인어린이상상의숲 공연놀이터,경기도 용인시 처인구 동백죽전대로 61,37.24962344,127.1651613,공연장
10,SOUL(쏘울),경기도 용인시 수지구 죽전로144번길 7-5,37.32351339,127.124099,공연장
11,경기도어린이박물관 강당,경기도 용인시 기흥구 상갈로 6,37.26820009,127.1089114,공연장
12,여성회관 작은어울마당,경기도 용인시 수지구 문정로7번길 15,37.3204578,127.0954157,공연장
