,소재지명,도로명,위도,경도,시설구분
0,동천동 행정복지센터,경기도 용인시 수지구 신수로783번길 40,37.3418473717,127.0992271448,공중화장실
1,상현1동 행정복지센터,경기도 용인시 수지구 상현로 71,37.3046295504,127.0811445401,공중화장실
2,와우정사,경기도 용인시 처인구 해곡로 25-16,37.1940663645,127.2789396007,공중화장실
3,은이성지,경기도 용인시 처인구 양지면 은이로 184,37.2153215587,127.2789114116,공중화장실
4,탄천 래미안입구 삼거리,경기도 용인시 기흥구 용구대로 2385,37.2988960075,127.1072292932,공중화장실
5,임진어린이공원,경기도 용인시 수지구 진산로11번길 29-1,37.3179962424,127.0938123547,공중화장실
6,신갈동게이트볼장,경기도 용인시 기흥구 신정로41번길 59,37.2786838065,127.0982876169,공중화장실
7,공세보건진료소,경기도 용인시 기흥구 공세로90번길 64,37.2331827133,127.1095094701,공중화장실
8,기흥구보건소,경기도 용인시 기흥구 신갈로58번길 11,37.2725644668,127.1066780887,공중화장실
9,기흥노인복지관 1층,경기도 용인시 기흥구 산양로 71,37.2878686917,127.1116977163,공중화장실
10,용인농촌테마파크 종합체험관,경기도 용인시 처인구 원삼면 농촌파크로 80-1,37.1710136889,127.2971196591,공중화장실
11,용담호수둘레길관리동,경기도 용인시 처인구 원삼면 원양로 422,37.1923706544,127.3094679483,공중화장실
12,용인공용버스터미널,경기도 용인시 처인구 중부대로 1486,37.2323276707,127.2104213247,공중화장실
13,동백역,경기도 용인시 기흥구 동백죽전대로 314,37.2691480786,127.1527584503,공중화장실
14,어정역,경기도 용인시 기흥구 어정로 128,37.2749536657,127.1438546896,공중화장실
15,지석역,경기도 용인시 기흥구 어정로 28,37.2697667324,127.136638075,공중화장실
16,기흥역(경전철),경기도 용인시 기흥구 중부대로 468,37.2757347101,127.1168585065,공중화장실
17,강남대역,경기도 용인시 기흥구 중부대로 578,37.2701394106,127.1260566371,공중화장실
18,보평역,경기도 용인시 처인구 경안천로 313,37.2589474213,127.2184503829,공중화장실
19,명지대역,경기도 용인시 처인구 금학로 241,37.2381177908,127.1902747486,공중화장실
20,운동장.송담대역,경기도 용인시 처인구 금학로 409,37.2378768406,127.2090021038,공중화장실
21,시청.용인대역,경기도 용인시 처인구 중부대로 1199-1,37.2394753924,127.1788031418,공중화장실
22,둔전역,경기도 용인시 처인구 포곡읍 포곡로 70,37.2672559625,127.2137050236,공중화장실
23,푸른내어린이공원,경기도 용인시 기흥구 동백8로 120,37.2827986322,127.1632997322,공중화장실
24,성복동 행정복지센터,경기도 용인시 수지구 성복1로 100,37.3164842879,127.0690029183,공중화장실
25,수지구청 야외화장실,경기도 용인시 수지구 포은대로 435,37.3222450318,127.097401236,공중화장실
26,상현레스피아,경기도 용인시 수지구 광교마을로 128,37.2948360969,127.0773853237,공중화장실
27,수지구보건소 공중화장실,경기도 용인시 수지구 포은대로 435,37.3222450318,127.097401236,공중화장실
28,고기보건진료소,경기도 용인시 수지구 호수로 11-3,37.3581608127,127.0680420206,공중화장실
29,용인일자리센터,경기도 용인시 기흥구 강남로 3,37.2710681196,127.1261422767,공중화장실
30,용인시처인장애인복지관,경기도 용인시 처인구 경안천로 318,37.2594542897,127.2193281315,공중화장실
31,용인시청,경기도 용인시 처인구 중부대로 1199,37.2401717248,127.1763197994,공중화장실
32,백암면주민센터,경기도 용인시 처인구 백암면 백암로 189,37.1633966837,127.3753735896,공중화장실
33,백암면주민자치센터,경기도 용인시 처인구 백암면 백암로185번길 12,37.1636573698,127.3746861091,공중화장실
34,모현읍행정복지센터,경기도 용인시 처인구 모현읍 독점로 31-6,37.3294550112,127.2423886045,공중화장실
