,office_name,5_score,4_score,3_score,2_score,1_score,Total
0,구갈동,13,17,11,23,37,249
1,구성동,19,27,32,25,32,381
2,기흥구청,20,39,36,31,66,492
3,기흥동,2,2,15,2,10,77
4,남사면,0,0,0,0,0,0
5,동백동,19,18,25,23,12,300
6,동부동,17,4,18,11,13,190
7,동천동,39,33,14,30,11,440
8,마북동,11,21,32,26,26,313
9,모현읍,7,2,6,0,7,68
10,백암면,0,3,0,5,0,22
11,보정동,20,17,29,40,18,353
12,상갈동,7,21,23,29,32,278
13,상하동,13,37,11,11,21,289
14,상현1동,71,39,54,38,15,764
15,상현2동,59,54,49,61,31,811
16,서농동,10,15,3,9,10,147
17,성복동,52,45,15,34,16,569
18,수지구청,37,37,59,61,53,685
19,신갈동,19,27,24,42,68,427
20,신봉동,33,33,42,55,44,577
21,양지면,6,10,6,6,0,100
22,역삼동,20,26,24,29,30,364
23,영덕동,16,19,11,15,11,230
24,용인시청,6,14,5,21,7,150
25,원삼면,0,4,0,0,5,21
26,유림동,2,7,5,1,3,58
27,이동읍,0,0,0,0,0,0
28,죽전1동,53,52,44,30,42,707
29,죽전2동,48,46,38,25,37,625
30,중앙동,38,23,24,8,27,397
31,처인구청,52,39,25,15,32,553
32,포곡읍,5,1,10,2,8,71
33,풍덕천1동,41,39,56,59,42,689
34,풍덕천2동,34,42,48,62,54,660
