,office_name,5_score,4_score,3_score,2_score,1_score,Total
0,동백동,5,0,5,5,5,55
1,동부동,5,0,0,0,0,25
2,동천동,10,10,0,5,0,100
3,모현읍,5,0,0,0,0,25
4,상현1동,15,0,15,5,0,130
5,상현2동,5,0,15,10,5,95
6,성복동,5,5,5,5,0,70
7,수지구청,10,5,5,0,15,100
8,신봉동,5,0,0,5,0,35
9,죽전1동,15,10,15,0,0,160
10,죽전2동,10,5,10,0,5,105
11,처인구청,15,15,0,0,10,145
12,풍덕천1동,5,5,5,10,5,85
13,구성동,0,5,5,0,5,40
14,기흥구청,0,5,15,0,5,70
15,상갈동,0,5,0,10,15,55
16,영덕동,0,10,0,5,5,55
17,풍덕천2동,0,5,0,5,10,40
18,기흥동,0,0,5,0,0,15
19,역삼동,0,0,15,5,5,60
20,중앙동,0,0,5,0,5,20
21,포곡읍,0,0,5,0,0,15
22,구갈동,0,0,0,5,5,15
23,백암면,0,0,0,5,0,10
24,보정동,0,0,0,5,0,10
25,신갈동,0,0,0,5,10,20
26,양지면,0,0,0,5,0,10
27,용인시청,0,0,0,5,0,10
28,원삼면,0,0,0,0,5,5
