,소재지명,도로명,위도,경도,시설구분
0,용인시청,경기도 용인시 처인구 중부대로 1199,37.240608,127.1772935,관공서
1,처인구청,경기도 용인시 처인구 금령로 50,37.2344735,127.2014077,관공서
2,포곡읍,경기도 용인시 처인구 포곡읍 포곡로 258,37.2777155,127.2309574,관공서
3,모현읍,경기도 용인시 처인구 모현면 독점로 31-6,37.3294787,127.2422761,관공서
4,남사면,경기도 용인시 처인구 남사면 내기로 22,37.115301,127.1502137,관공서
5,이동읍,경기도 용인시 처인구 이동면 경기동로 673,37.12746,127.1893731,관공서
6,원삼면,경기도 용인시 처인구 원삼면 원양로 64,37.1653644,127.3103786,관공서
7,백암면,경기도 용인시 처인구 백암면 백암로 189,37.1636946,127.3753866,관공서
8,양지면,경기도 용인시 처인구 양지면 양지로105번길 5,37.2357405,127.2801214,관공서
9,중앙동,경기도 용인시 처인구 금령로78번길 7,37.2341249,127.2051699,관공서
10,역삼동,경기도 용인시 처인구 명지로 16,37.2345179,127.1879177,관공서
11,유림동,경기도 용인시 처인구 백옥대로 1315,37.2524204,127.2117187,관공서
12,동부동,경기도 용인시 처인구 중부대로 1574,37.2327418,127.2191418,관공서
13,기흥구청,경기도 용인시 기흥구 관곡로 95,37.2802242,127.1151398,관공서
14,신갈동,경기도 용인시 기흥구 신갈로58번길 11,37.2725093,127.1070081,관공서
15,영덕동,경기도 용인시 기흥구 흥덕2로 118번길 2,37.2718661,127.0737664,관공서
16,구갈동,경기도 용인시 기흥구 강남로 23,37.2724176,127.1275789,관공서
17,상갈동,경기도 용인시 기흥구 상갈로 2,37.2665434,127.1076299,관공서
18,기흥동,경기도 용인시 기흥구 고매로43번길 12-14,37.2322301,127.1143893,관공서
19,서농동,경기도 용인시 기흥구 서천동로 94,37.2403129,127.0755947,관공서
20,구성동,경기도 용인시 기흥구 구성로77번길 17,37.2965012,127.1189634,관공서
21,마북동,경기도 용인시 기흥구 구교동로118번길 16,37.3022246,127.1173194,관공서
22,동백동,경기도 용인시 기흥구 동백중앙로 214,37.2705385,127.1563635,관공서
23,상하동,경기도 용인시 기흥구 어정로 62-23,37.2702308,127.1380528,관공서
24,보정동,경기도 용인시 기흥구 죽전로 40,37.3266759,127.1253051,관공서
25,수지구청,경기도 용인시 수지구 포은대로 435,37.3241541,127.0932899,관공서
26,풍덕천1동,경기도 용인시 수지구 수지로342번길 3,37.3278713,127.0950572,관공서
27,풍덕천2동,경기도 용인시 수지구 풍덕천로 51,37.3193826,127.0886558,관공서
28,신봉동,경기도 용인시 수지구 수지로 215,37.3206332,127.0836188,관공서
29,죽전1동,경기도 용인시 수지구 대지로15번길 50,37.3309473,127.1138276,관공서
30,죽전2동,경기도 용인시 수지구 포은대로 523,37.3324967,127.1128141,관공서
31,동천동,경기도 용인시 수지구 신수로783번길 40,37.341641,127.0989977,관공서
32,상현1동,경기도 용인시 수지구 상현로 71,37.3045954,127.0811366,관공서
33,상현2동,경기도 용인시 수지구 만현로 48,37.3121418,127.0872845,관공서
34,성복동,경기도 용인시 수지구 성복1로 100,37.3164107,127.0689606,관공서
