,소재지명,도로명,위도,경도,시설구분
0,현대그린프라자,경기도 용인시 수지구 풍덕천로 149,37.3245908,127.0975743,대규모점포
1,골드타워모드빌,경기도 용인시 처인구 금령로 71번길 8,37.2357861,127.2044402,대규모점포
2,(주)이마트 트레이더스 구성점,경기도 용인시  기흥구 용구대로 2457,37.3040078,127.1046392,대규모점포
3,영통프리미엄아울렛,경기도 용인시  기흥구 중부대로 64,37.266751,127.076195,대규모점포
4,(주)이마트수지점,경기도 용인시  수지구 수지로 203,37.3196884,127.0833256,대규모점포
5,에프앤에프(콜렉티드),경기도 용인시 수지구 용구대로 2725,37.3287572,127.1086154,대규모점포
6,(주)농협유통 하나로클럽 용인점,경기도 용인시 기흥구 중부대로 682,37.2660116,127.1357885,대규모점포
7,롯데쇼핑㈜롯데마트 수지점,경기도 용인시 기흥구 진산로 116,37.3207701,127.0994557,대규모점포
8,(주)이마트 죽전점,경기도 용인시 수지구 포은대로 552,37.3252976,127.1100001,대규모점포
9,(주)이마트 용인점,경기도 용인시 처인구 명지로 53,37.2314175,127.1891473,대규모점포
10,죽전패션타운,경기도 용인시 수지구 용구대로 2729,37.3294281,127.1083208,대규모점포
11,(주)이마트동백점,경기도 용인시 기흥구 동백죽전대로 444,37.2779159,127.151605,대규모점포
12,쥬네브문월드,경기도 용인시 기흥구 동백5로 22,37.275927,127.1513229,대규모점포
13,신세계백화점경기점,경기도 용인시  수지구 포은대로 536,37.3249213,127.1081315,대규모점포
14,쥬네브썬월드,경기도 용인시  기흥구 동백죽전대로 444,37.2779159,127.151605,대규모점포
15,(주)이마트보라점,경기도 용인시 기흥구 한보라1로 92,37.2475155,127.1050578,대규모점포
16,(주)이마트흥덕점,경기도 용인시 기흥구 흥덕중앙로 60,37.2757153,127.0733398,대규모점포
17,롯데마트신갈점,경기도 용인시 기흥구 중부대로 375,37.2653654,127.1005782,대규모점포
18,㈜한섬,경기도 용인시 기흥구 공세로 186,37.2392697,127.103884,대규모점포
19,코스트코 공세점,경기도 용인시 기흥구 탑실로 38,37.2409748,127.1139501,대규모점포
20,롯데프리미엄아울렛 기흥점,경기도 용인시 기흥구 신고매로 124,37.2801554,127.114659,대규모점포
21,ak&기흥,경기도 용인시 기흥구 기흥역로 63,37.275657,127.115944,대규모점포
