,소재지명,도로명,위도,경도,시설구분
0,용인시박물관,경기도 용인시 기흥구 동백3로 79-0,37.27392025,127.1571468,박물관및미술관
1,예아리박물관,경기도 용인시 처인구 백암면 삼백로785번길 64,37.14132675,127.3642626,박물관및미술관
2,삼성교통박물관,경기도 용인시 처인구 포곡읍 에버랜드로376번길 171,37.30020595,127.2178674,박물관및미술관
3,명지대학교박물관,경기도 용인시 처인구 명지로 116,37.2222736,127.189659,박물관및미술관
4,한국등잔박물관,경기도 용인시 처인구 모현읍 능곡로56번길 8-0,37.33658915,127.1778595,박물관및미술관
5,백남준 아트센터,경기도 용인시 기흥구 상갈로 6,37.26820009,127.1089114,박물관및미술관
6,신영숙 컬렉션,경기도 용인시 기흥구 흥덕4로 63,37.27731264,127.0900943,박물관및미술관
7,설민민화박물관,경기도 용인시 처인구 동부로 823,37.18930339,127.2770606,박물관및미술관
8,경희대 혜정박물관,경기도 용인시 기흥구 덕영대로 1732,37.24367046,127.0767015,박물관및미술관
9,한국민속촌박물관,경기도 용인시 기흥구 민속촌로 90,37.26091947,127.120813,박물관및미술관
10,마가미술관,경기도 용인시 처인구 모현면 문형동림로101번길 37,37.33177038,127.1927917,박물관및미술관
11,삼성화재교통박물관,경기도 용인시 처인구 포곡읍 에버랜드로376번길 171-0,37.30037208,127.2169533,박물관및미술관
12,한국미술관,경기도 용인시 기흥구 마북로 244-2,37.30897189,127.1319469,박물관및미술관
13,호암미술관,경기도 용인시 처인구 포곡읍 에버랜드로562번길 38,37.29321665,127.1923281,박물관및미술관
14,용인문화유적전시관,경기도 용인시 기흥구 동백3로 79-0,37.27392025,127.1571468,박물관및미술관
15,이영미술관,경기도 용인시 기흥구 흥덕4로 63,37.27731264,127.0900943,박물관및미술관
16,안젤리미술관,경기도 용인시 처인구 이동면 이원로 244,37.18451212,127.2313113,박물관및미술관
17,삶의 이야기가 있는 집,경기도 용인시 처인구 원삼면 내동로 50-13,37.17385104,127.2958955,박물관및미술관
18,경기도박물관,경기도 용인시 기흥구 상갈로 6,37.26820009,127.1089114,박물관및미술관
19,둥지박물관,경기도 용인시 처인구 원삼면 후평로 165-15,37.14095913,127.32455,박물관및미술관
20,단국대학교 석주선기념박물관,경기도 용인시 수지구 죽전로 152,37.31979601,127.1314427,박물관및미술관
21,신세계 한국상업사박물관,경기도 용인시 처인구 남사면 화곡로 77,37.15040473,127.1812523,박물관및미술관
22,용인대학교 박물관,경기도 용인시 처인구 용인대학로 134,37.2271816,127.1662526,박물관및미술관
23,신영숙콜렉션,경기도 용인시 기흥구 흥덕4로 63 ,37.27731264,127.0900943,박물관및미술관
24,디아모레 뮤지움 박물관,경기 용인시 기흥구 용구대로 1920,37.26477074,127.1287735,박물관및미술관
