,소재지명,도로명,위도,경도,시설구분
0,오스카호텔,경기도 용인시 처인구 금령로90번길 3-10,37.23501405,127.2068373,숙박업소
1,호텔 M7,경기도 용인시 기흥구 갈천로7번길 51,37.27037764,127.1050427,숙박업소
2,(주)더숨디앤씨,경기도 용인시 처인구 포곡읍 성산로 633,37.2867977,127.208289,숙박업소
3,양지장,경기도 용인시 처인구 양지면 양지로 142-5,37.23405329,127.2840651,숙박업소
4,레미니스호텔,경기도 용인시 기흥구 기흥단지로 53,37.2257925,127.1044638,숙박업소
5,라고,경기도 용인시 기흥구 신정로237번길 5-5,37.28857656,127.0969489,숙박업소
6,나인,경기도 용인시 처인구 원삼면 좌전로 142,37.2082236,127.3204226,숙박업소
7,홈브리지캐빈호스텔,경기도 용인시 처인구 포곡읍 에버랜드로 199,37.28996008,127.2165862,숙박업소
8,코리아골프빌리지 대우그린카운티,경기도 용인시 기흥구 기흥단지로 415,37.2209982,127.1372749,숙박업소
9,써닝텔,경기도 용인시 처인구 백암면 고안로51번길 205,37.14309933,127.4202109,숙박업소
10,호텔몬트,경기도 용인시 기흥구 신정로237번길 5-6 ,37.28862028,127.0965538,숙박업소
11,J모텔,경기도 용인시 처인구 중부대로 1493-5,37.23375028,127.209762,숙박업소
12,대호장,경기도 용인시 기흥구 신갈로68번길 2,37.27256173,127.1058547,숙박업소
13,호텔마리,경기도 용인시 처인구 양지면 남평로 73-5,37.22892948,127.2920046,숙박업소
14,와우(WOW),경기도 용인시 처인구 중부대로 1417-1,37.2330534,127.2017876,숙박업소
15,호텔 문라이즈(Hotel Moonrise),경기도 용인시 수지구 풍덕천로190번길 26,37.32432513,127.1021081,숙박업소
16,호텔 컬리넌 용인,경기도 용인시 처인구 백옥대로 1102,37.2337702,127.2094298,숙박업소
17,자연파크,경기도 용인시 처인구 포곡읍 전대로78번길 14-4,37.28608641,127.2175596,숙박업소
18,발렌타인,경기도 용인시 처인구 백옥대로 910,37.21724293,127.2086982,숙박업소
19,성산모텔,경기도 용인시 처인구 금령로107번길 16,37.23712663,127.2081707,숙박업소
20,큐 모텔,경기도 용인시 기흥구 신갈로58번길 29-18,37.27372597,127.1090069,숙박업소
21,Hotel 9 teen,경기도 용인시 기흥구 신정로237번길 7,37.28898053,127.0964616,숙박업소
22,남사 룸앤텔,경기도 용인시 처인구 남사읍 처인성로 309,37.11753686,127.1609825,숙박업소
23,신라장,경기도 용인시 처인구 금령로106번길 7,37.23483728,127.2082584,숙박업소
24,홀인원,경기도 용인시 수지구 풍덕천로190번길 3-14 ,37.3259843,127.1024966,숙박업소
25,G모텔,경기도 용인시 기흥구 신갈로58번길 29-7,37.27333733,127.1086931,숙박업소
26,호텔 비엔,경기도 용인시 기흥구 기흥단지로 47,37.22532257,127.1041055,숙박업소
27,삼흥여인숙,경기도 용인시 처인구 백옥대로 1124-2,37.23581265,127.20901,숙박업소
28,스튜디오9호텔,경기도 용인시 처인구 금령로106번길 6,37.23497117,127.2079343,숙박업소
29,골드훼미리콘도미니엄,경기도 용인시 기흥구 기흥단지로 406,37.22101641,127.1387432,숙박업소
30,이화모텔,경기도 용인시 기흥구 갈천로 70,37.2698613,127.1069854,숙박업소
31,백암파크,경기도 용인시 처인구 백암면 백암로 31-7,37.15150775,127.3850553,숙박업소
32,메리엘,경기도 용인시 기흥구 신정로 235,37.28898385,127.0969672,숙박업소
33,골든튤립에버용인호텔,경기도 용인시 처인구 포곡읍 전대로78번길 19-2,37.2869629,127.2167584,숙박업소
34,산까치장,경기도 용인시 기흥구 마북로 61,37.2969303,127.1179322,숙박업소
35,제니스,경기도 용인시 처인구 이동읍 화산로 15-1,37.1461918,127.2043203,숙박업소
