,hotel_name,5_score,4_score,3_score,2_score,1_score,Total
0,(주)더숨디앤씨,4,2,2,2,7,45
1,(주)청송네트웍스(더트리니호텔),5,16,11,22,14,180
2,G(지)호텔,26,36,43,51,35,540
3,G7,13,5,14,5,8,145
4,G모텔,20,34,28,46,80,492
5,Hotel 9 teen,0,0,7,0,0,21
6,IMT호텔,27,37,43,51,33,547
7,J모텔,26,9,25,12,23,288
8,Monterey17 Hotel,13,10,17,4,2,166
9,M모텔,21,37,28,49,83,518
10,NO25 용인터미널점,23,11,30,10,20,289
11,Q(큐)호텔,12,5,11,5,8,131
12,SR 디자인 호텔,31,19,27,8,23,351
13,STAY HOTEL,0,1,1,0,2,9
14,T7 HOTEL,25,12,30,9,21,302
15,Vole(볼) 호텔,23,38,43,48,33,525
16,W(더블유)모텔,0,2,0,3,0,14
17,가즈아,0,0,7,0,0,21
18,게스트하우스포유,43,31,24,10,27,458
19,경기여인숙,32,17,26,10,22,348
20,경림장여관,31,20,27,8,22,354
21,골드훼미리콘도미니엄,0,0,0,0,0,0
22,골든튤립에버용인호텔,12,5,11,5,8,131
23,골든파크,41,27,26,9,27,436
24,귀빈장여관,26,12,28,10,22,304
25,그래이스모텔,24,16,16,20,10,282
26,그린장여관,55,48,27,23,37,631
27,금호장,14,21,24,39,51,355
28,기흥장여관,1,4,0,2,9,34
29,김미화마을,0,0,0,0,0,0
30,나인,5,0,0,4,0,33
31,낙원여인숙,26,14,25,10,18,299
32,남사 룸앤텔,0,0,0,0,0,0
33,남양모텔,17,14,17,35,40,302
34,뉴스카이,5,5,0,0,0,45
35,대성여인숙,20,34,47,48,32,505
36,대성파크,13,5,14,5,7,144
37,대원여인숙,27,13,29,10,22,316
38,대호장,20,25,23,45,63,422
39,대흥여인숙,17,28,24,44,66,423
40,더트리니호텔(THE TRINY HOTEL),5,16,11,22,14,180
41,덕창장,17,28,28,44,70,439
42,동도씨앤디주식회사 용인이스키아호텔지점,19,23,17,23,14,298
43,동일여인숙,27,13,26,11,19,306
44,드림파크,35,22,28,9,28,393
45,라고,0,0,6,0,1,19
46,라데팡스,0,1,3,1,0,15
47,라센트라,1,0,0,0,0,5
48,레미니스호텔,1,4,3,5,8,48
49,로얄파크,26,10,25,12,24,293
50,리 디자인 호텔,20,24,16,22,13,301
51,리스빌,20,6,32,16,21,273
52,리스텔,6,1,3,8,6,65
53,리오모텔,16,32,31,42,76,461
54,리젠드호텔,26,37,42,50,34,538
55,리츠모텔,12,5,11,5,7,130
56,마징가 모텔,1,4,0,2,10,35
57,만인여관,0,5,0,4,0,28
58,메리엘,0,0,7,0,0,21
59,메트로21,28,37,42,50,37,551
60,명동여인숙,12,5,12,5,7,133
61,모델파크,27,11,29,12,23,313
62,모텔모나코,5,1,11,3,8,76
63,모텔쉬리,5,2,0,1,2,37
64,모텔클레식,0,2,0,3,0,14
65,모텔프라쟈하우스,0,0,0,0,0,0
66,모현모텔,11,16,20,4,18,205
67,미니여관,39,26,27,10,27,427
68,민속장,10,20,23,30,34,293
69,발렌타인,0,4,4,0,0,28
70,발리모텔,7,4,5,6,5,83
71,백암파크,0,3,0,1,0,14
72,베네치아모텔,7,2,4,8,6,77
73,벨라지오,23,40,40,49,34,527
74,벨리노에스 호텔,18,12,36,25,13,309
75,브라운도트 용인점,27,12,29,9,22,310
76,블루힐,12,5,11,5,8,131
77,쁘띠프랑스,0,0,0,1,0,2
78,산까치장,20,25,33,27,28,381
79,산수파크,8,3,4,4,0,72
80,삼성모텔,56,49,27,27,37,648
81,삼화여관,18,25,23,43,63,408
82,삼흥여인숙,26,11,28,11,21,301
83,상상호텔1,16,26,26,42,56,402
84,상상호텔2,16,26,26,42,56,402
85,샹그리아,8,10,8,4,1,113
86,서울여관,43,31,24,10,27,458
87,선비파크,9,19,25,33,41,303
88,성산모텔,29,12,28,11,19,318
89,성지네트웍스 더트리니호텔,5,16,11,22,14,180
90,센츄럴,25,15,15,18,8,274
91,소설스미스,9,46,23,13,14,338
92,수산여인숙,27,12,26,10,19,300
93,수지스테이25,24,35,41,46,30,505
94,쉐르나모텔,0,4,4,6,0,40
95,스위트호텔,3,3,0,0,3,30
96,스카이1,37,40,49,51,36,630
97,스카이2,34,41,46,53,33,611
98,스카이모텔,3,12,5,17,10,122
99,스카이호텔,14,28,26,41,62,404
100,스튜디오9호텔,30,12,29,11,22,329
101,신갈장,19,21,23,42,56,388
102,신라장,27,12,28,10,22,309
103,신라파크모텔,16,15,19,38,42,315
104,써닝텔,0,0,3,0,0,9
105,썬스테이호텔,53,40,23,15,31,555
106,아담장,16,31,31,43,74,457
107,아도니스,0,0,0,1,0,2
108,아미부띠끄호텔,1,4,3,5,8,48
109,아스트로호텔,24,35,41,46,31,506
110,아이에스모텔,5,1,6,5,9,66
111,아트인모텔,28,13,29,10,23,322
112,알리앙스,9,7,14,2,17,136
113,알프스산장,23,38,42,49,34,525
114,양지장,8,10,9,6,0,119
115,양지파인리조트,0,1,0,0,0,4
116,얼레이호텔,1,0,8,1,1,32
117,에덴하우스,15,44,25,9,10,354
118,에버파크,13,5,14,5,8,145
119,에버힐,0,0,0,1,0,2
120,에이스호텔,14,18,23,34,40,319
121,엘레강스모텔,21,36,28,49,80,511
122,엠스테이호텔 경기기흥,12,17,7,8,10,175
123,영덕여인숙,6,9,5,8,3,100
124,영빈파크,0,0,4,0,0,12
125,오스카호텔,32,17,26,10,23,349
126,온천장,9,11,9,6,0,128
127,와우(WOW),49,33,22,11,30,495
128,용인라마다호텔,12,5,11,5,8,131
