,hotel_name,5_score,4_score,3_score,2_score,1_score,Total
0,G7,5,5,5,5,0,70
1,G모텔,5,0,5,5,10,60
2,J모텔,5,0,0,0,0,25
3,M모텔,5,10,5,5,15,105
4,Q(큐)호텔,5,5,0,5,5,60
5,골든튤립에버용인호텔,5,5,0,5,5,60
6,그린장여관,10,10,0,0,0,90
7,금호장,5,0,0,0,5,30
8,낙원여인숙,5,0,5,0,0,40
9,남양모텔,5,0,0,15,0,55
10,뉴스카이,5,5,0,0,0,45
11,대성파크,10,5,10,5,0,110
12,동일여인숙,5,0,5,0,0,40
13,로얄파크,5,0,0,0,0,25
14,리츠모텔,5,5,0,5,0,55
15,명동여인숙,5,5,5,5,0,70
16,모델파크,5,0,0,0,0,25
17,모현모텔,5,5,5,0,5,65
18,민속장,5,5,0,10,20,85
19,블루힐,5,5,0,5,5,60
20,삼성모텔,10,10,0,5,0,100
21,선비파크,5,5,0,5,15,70
22,성산모텔,5,0,5,0,0,40
23,수산여인숙,5,0,5,0,0,40
24,신라파크모텔,5,0,0,15,0,55
25,썬스테이호텔,25,10,5,0,5,185
26,에버파크,10,5,10,5,0,110
27,에이스호텔,5,5,0,0,5,50
28,엘레강스모텔,5,10,5,5,15,105
29,온천장,5,5,5,0,0,60
30,와우(WOW),20,5,10,0,10,160
31,용인라마다호텔,5,5,0,5,5,60
32,용천여인숙,5,5,5,0,0,60
33,우리여인숙,5,0,5,0,0,40
34,유림장,5,0,5,5,5,55
35,자연파크,5,5,5,5,0,70
36,자주모텔,5,0,5,0,0,40
37,중앙모텔,5,0,5,0,0,40
38,창원여관,25,5,10,0,10,185
39,칼리야 모텔,5,0,0,0,5,30
40,큐 모텔,5,5,5,10,10,90
41,폴라리스,30,10,5,0,10,215
42,필모텔,30,5,5,0,5,190
43,헤르메스호텔,10,5,5,5,5,100
44,호텔스테이,5,0,5,5,5,55
45,호텔주노,5,0,0,0,5,30
46,(주)청송네트웍스(더트리니호텔),0,5,0,5,0,30
47,G(지)호텔,0,5,0,5,0,30
48,IMT호텔,0,5,0,0,0,20
49,대성여인숙,0,5,10,5,0,60
50,더트리니호텔(THE TRINY HOTEL),0,5,0,5,0,30
51,리젠드호텔,0,5,0,0,5,25
52,만인여관,0,5,0,0,0,20
53,메트로21,0,5,0,5,5,35
54,산까치장,0,5,5,0,5,40
55,성지네트웍스 더트리니호텔,0,5,0,5,0,30
56,소설스미스,0,5,0,0,0,20
57,스카이1,0,5,10,20,5,95
58,스카이2,0,5,10,15,5,85
59,아스트로호텔,0,5,5,5,0,45
60,에덴하우스,0,15,0,0,0,60
61,용인센트럴코업호텔(yongincentral coophotel),0,5,0,5,0,30
62,제일여인숙,0,5,5,5,5,50
63,천일여관,0,5,0,0,0,20
64,파인힐,0,10,10,5,0,80
65,호텔 문라이즈(Hotel Moonrise),0,5,5,5,0,45
66,호텔172st,0,10,5,5,0,65
67,힐호텔,0,10,5,5,0,65
68,NO25 용인터미널점,0,0,5,0,0,15
69,SR 디자인 호텔,0,0,5,0,0,15
70,T7 HOTEL,0,0,5,0,0,15
71,경기여인숙,0,0,5,0,0,15
72,경림장여관,0,0,5,0,0,15
73,골든파크,0,0,5,0,0,15
74,대원여인숙,0,0,5,0,0,15
75,덕창장,0,0,10,5,10,50
76,드림파크,0,0,5,0,0,15
77,리스빌,0,0,15,5,5,60
78,리오모텔,0,0,5,5,0,25
79,모텔모나코,0,0,5,0,0,15
80,미니여관,0,0,5,0,0,15
81,삼흥여인숙,0,0,5,0,0,15
82,상상호텔1,0,0,5,5,5,30
83,상상호텔2,0,0,5,5,5,30
84,스카이호텔,0,0,5,5,5,30
85,아담장,0,0,5,5,0,25
86,아트인모텔,0,0,5,0,0,15
87,알리앙스,0,0,5,0,0,15
88,양지장,0,0,5,0,0,15
89,오스카호텔,0,0,5,0,0,15
90,용인여인숙,0,0,5,0,0,15
91,용인장여관,0,0,5,0,0,15
92,윈져캐슬관광호텔,0,0,5,0,0,15
93,자자모텔,0,0,5,0,0,15
94,청실장,0,0,5,0,0,15
95,충북여인숙,0,0,5,0,0,15
96,카라반베이호텔,0,0,10,0,0,30
97,카멜레온,0,0,5,0,0,15
98,특실여인숙,0,0,5,0,0,15
99,파래스장,0,0,5,5,0,25
100,푸른여인숙,0,0,5,0,0,15
101,행운모텔,0,0,5,0,0,15
102,호텔 헤르메스,0,0,5,0,0,15
103,휘닉스모텔,0,0,5,0,0,15
104,대흥여인숙,0,0,0,5,10,20
105,동도씨앤디주식회사 용인이스키아호텔지점,0,0,0,10,0,20
106,리 디자인 호텔,0,0,0,5,0,10
107,벨라지오,0,0,0,10,5,25
108,벨리노에스 호텔,0,0,0,5,0,10
109,삼화여관,0,0,0,5,10,20
110,수지스테이25,0,0,0,5,0,10
111,유토피아모텔,0,0,0,5,0,10
112,풍원장,0,0,0,5,15,25
113,호텔.폴,0,0,0,5,10,20
114,홀인원,0,0,0,10,5,25
115,게스트하우스포유,0,0,0,0,5,5
116,대호장,0,0,0,0,10,10
117,리스텔,0,0,0,0,5,5
118,베네치아모텔,0,0,0,0,5,5
119,서울여관,0,0,0,0,5,5
120,신갈장,0,0,0,0,5,5
121,아이에스모텔,0,0,0,0,5,5
122,알프스산장,0,0,0,0,5,5
123,장원파크,0,0,0,0,5,5
124,호텔 M7,0,0,0,0,5,5
125,호텔마리,0,0,0,0,5,5
126,호텔카사,0,0,0,0,5,5
127,힐(HILL)모텔,0,0,0,0,5,5
