,소재지명,도로명,위도,경도,시설구분
0,수지농협,경기도 용인시 수지구 문정로 20,37.3226195,127.0963547,시장및마트
1,죽전로데오상점가시장,경기도 용인시 수지구 용구대로 2725-3,37.328761,127.108104,시장및마트
2,구성농협,경기도 용인시 기흥구 구성로 40,37.294267,127.1140485,시장및마트
3,포곡농협,경기도 용인시 처인구 포곡읍 포곡로246번길 8,37.276352,127.2295709,시장및마트
4,용인중앙시장,경기도 용인시 처인구 금령로99번길 9,37.236506,127.207071,시장및마트
5,원삼농협,경기도 용인시 처인구 원삼면 고당로 24,37.1648674,127.3095117,시장및마트
6,로컬푸드행복장터,경기도 용인시 수지구 경부고속도로 400,37.3324518,127.1045475,시장및마트
7,롯데쇼핑(주) 롯데마트 수지점,경기도 용인시 기흥구 진산로 116 ,37.32070692,127.0993872,시장및마트
8,농협 하나로클럽 기흥점,경기도 용인시 기흥구 중부대로 682 ,37.265853,127.1360242,시장및마트
9,한섬 패션웨어하우스,경기도 용인시 기흥구 공세로 186 ,37.23880693,127.1039222,시장및마트
10,신세계이마트수지점,경기도 용인시 수지구 수지로 203,37.3221809,127.0796905,시장및마트
11,코스트코 홀세일 공세점,경기도 용인시 기흥구 탑실로 38-0 ,37.23831883,127.1089418,시장및마트
12,주식회사 신세계 경기점,경기도 용인시 수지구 포은대로 536 ,37.32500317,127.1081093,시장및마트
13,롯데쇼핑(주) 롯데마트 신갈점,경기도 용인시 기흥구 신갈로58번길 16 ,37.27209889,127.1073865,시장및마트
14,(주)에프앤에프용인,경기도 용인시 수지구 용구대로 2725,37.328673,127.1086043,시장및마트
15,용인농협파머스마켓,경기도 용인시 처인구 금령로55번길 3 ,37.2352425,127.2020187,시장및마트
16,애경자산관리(주)AK기흥,경기도 용인시 기흥구 기흥역로 63,37.27533201,127.1177629,시장및마트
17,신세계이마트 수지점,경기도 용인시 수지구 수지로 203,37.3197368,127.0832981,시장및마트
18,(주)이마트 죽전점,경기도 용인시 수지구 포은대로 552 ,37.32532492,127.1100039,시장및마트
19,(주)이마트 수지점,경기도 용인시 수지구 수지로 203 ,37.31976257,127.0833291,시장및마트
20,쥬네브썬월드,경기도 용인시 기흥구 동백죽전대로 444 ,37.2779622,127.1516621,시장및마트
21,롯데쇼핑(주) 롯데마트 수지점,경기도 용인시 기흥구 진산로 116 ,37.3207069,127.0993871,시장및마트
22,죽전패션타운,경기도 용인시 수지구 용구대로 2729 ,37.3295112,127.1083234,시장및마트
23,롯데프리미엄아울렛 기흥점,경기도 용인시 기흥구 신고매로 124 ,37.22544981,127.1209569,시장및마트
24,롯데슈퍼 용인점,경기도 용인시 처인구 백옥대로 1066 ,37.23061516,127.2104842,시장및마트
25,롯데몰 용인점,경기도 용인시 수지구 심곡로 121 ,37.31268183,127.083302,시장및마트
26,(주)이마트 보라점,경기도 용인시 기흥구 한보라1로 92 ,37.24750936,127.1050945,시장및마트
27,(주)신세계백화점 죽전점,경기도 용인시 수지구 포은대로 536,37.3249213,127.1081315,시장및마트
28,신세계이마트 구성점,경기도 용인시 기흥구 용구대로 2457 ,37.3049883,127.1049955,시장및마트
29,용인골드타워모드빌,경기도 용인시 처인구 금령로71번길 8 ,37.23577,127.2044542,시장및마트
30,(주)이마트 흥덕점,경기도 용인시 기흥구 흥덕중앙로 60 ,37.27575709,127.0733298,시장및마트
31,신세계 이마트 죽전점,경기도 용인시 수지구 포은대로 552,37.3252976,127.1100001,시장및마트
32,코스트코홀세일 공세점,경기도 용인시 기흥구  탑실로  38 ,37.2381557,127.1088835,시장및마트
33,(주)이마트 용인점,경기도 용인시 처인구 명지로 53 ,37.23148953,127.189152,시장및마트
34,(주)이마트 트레이더스 구성점,경기도 용인시 기흥구 용구대로 2457 ,37.30397128,127.1046527,시장및마트
35,(주)지에스리테일 용인점,경기도 용인시 처인구 금령로55번길 12 ,37.23601367,127.2028425,시장및마트
36,쥬네브쇼핑몰,경기도 용인시 기흥구 동백죽전대로 444 ,37.2779622,127.1516621,시장및마트
37,(주)농협유통하나로클럽 용인점,경기도 용인시 기흥구 중부대로 682 ,37.26605054,127.1358439,시장및마트
38,수원프리미엄아울렛,"경기도 용인시 기흥구 중부대로 64, 영통프리미엄아울렛 ",37.2665719,127.0762744,시장및마트
39,(주)쥬네브문월드,경기도 용인시 기흥구 동백5로 22 ,37.27590419,127.1512723,시장및마트
40,이케아 기흥점,경기도 용인시 기흥구 원고매로 125 ,37.22078348,127.1162687,시장및마트
41,리빙파워센터,경기도 용인시 기흥구 신고매로 59 ,37.22341803,127.114249,시장및마트
42,정동마트,경기도 용인시 처인구 고림로 206,37.24952113,127.2232777,시장및마트
43,세영산업주식회사,경기도 용인시 처인구 양지면 죽양대로 2309,37.23369742,127.2969067,시장및마트
44,현대그린프라자,"경기도 용인시 수지구 풍덕천로 149, 현대그린프라자 ",37.3246253,127.0975804,시장및마트
45,(주)이마트 동백점,경기도 용인시 기흥구 동백죽전대로 444 ,37.27799636,127.1515898,시장및마트
46,(주)프리미엄아울렛,경기도 용인시 기흥구 중부대로 64 ,37.26660022,127.076201,시장및마트
47,(주)천우산업개발 역북패션아울렛,경기도 용인시 처인구 중부대로 1294,37.2359914,127.1887365,시장및마트
48,월마트코리아(주)구성점,경기도 용인시 기흥구 용구대로 2457 ,37.3049883,127.1049955,시장및마트
49,동양마트,경기도 용인시 기흥구 중부대로 682 ,37.265853,127.1360242,시장및마트
