,apt_parking_name,5_score,4_score,3_score,2_score,1_score,Total
0,갈현마을현대홈타운,15,5,0,5,0,105
1,"강남마을자연앤4,6단지",5,10,5,10,0,100
2,광교경남아너스빌,10,0,5,5,15,90
3,광교마을45단지,5,0,5,5,5,55
4,광교상떼빌파크뷰(구 상현마을성원상떼빌아파트),15,0,5,0,10,100
5,광교상록자이,5,0,5,5,5,55
6,광교쌍용포레듀엔 2단지,15,0,10,5,10,125
7,광교쌍용포레듀엔3단지,5,0,10,5,5,70
8,광교현대프레미오,10,5,0,10,5,95
9,광교휴먼시아41단지,5,0,0,5,0,35
10,광교힐스테이트,5,10,0,10,5,90
11,교동마을쌍용,5,0,0,0,10,35
12,교동마을정광,5,5,5,10,10,90
13,교동마을현대홈타운,5,5,10,5,0,85
14,구갈가현마을신안,5,0,0,5,0,35
15,구갈강남마을 계룡리슈빌,5,15,5,5,0,110
16,구성더포레스트,5,0,0,0,0,25
17,금평마을영화,5,0,0,5,0,35
18,금호베스트빌2단지,20,0,5,5,5,130
19,금호베스트빌3단지,15,0,0,5,5,90
20,금호베스트빌4단지,10,5,25,0,0,145
21,기흥파크뷰(새천년그린빌5단지),15,5,5,0,0,110
22,꽃메마을극동스타클래스,5,5,0,0,5,50
23,꽃메마을아이파크2차,10,5,0,0,5,75
24,꽃메마을한라프로방스,15,10,0,0,5,120
25,꽃메마을현대홈타운4차3단지,5,15,5,0,5,105
26,꽃메마을현대힐스테이트4차2단지,15,5,0,0,0,95
27,내대지마을주공5단지,5,0,0,5,0,35
28,대원칸타빌,5,0,10,0,0,55
29,대지마을2차현대홈타운,10,10,5,5,0,115
30,대지마을현대홈타운3차2단지,15,5,10,0,0,125
31,더리버하임,10,5,5,5,15,110
32,더샵수지포레,10,0,5,5,0,75
33,도담마을 한양수자인,10,10,5,15,0,135
34,도담마을뜨리에체,15,5,0,0,5,100
35,동문그린,10,0,0,0,5,55
36,동백동원로얄듀크,15,5,0,0,5,100
37,동백역 경남아너스빌,5,0,0,5,0,35
38,동부1차,5,5,0,20,5,90
39,동아솔레시티,5,0,10,15,10,95
40,동일하이빌2단지,10,5,0,10,10,100
41,동일하이빌2차,10,5,0,0,5,75
42,동일하이빌4단지,5,0,0,0,0,25
43,동천 파크 자이 아파트,5,5,0,0,5,50
44,동천동문5차굿모닝힐,5,5,0,15,0,75
45,동천동문6차굿모닝힐,5,10,0,15,0,95
46,동천마을동문3차,10,0,0,0,5,55
47,동천마을현대2차홈타운,10,10,5,10,0,125
48,동천자이아파트,5,0,5,5,5,55
49,래미안수지이스트파크,5,0,10,10,5,80
50,래미안이스트팰리스1단지,5,10,0,10,0,85
51,래미안이스트팰리스2단지,5,5,0,20,0,85
52,래미안이스트팰리스3단지,5,5,0,0,5,50
53,마북e편한세상,5,10,5,5,0,90
54,만현마을1단지롯데캐슬,5,0,5,10,5,65
55,만현마을2단지현대아이파크,10,5,10,5,0,110
56,만현마을3단지성원상떼빌,15,0,0,5,0,85
57,만현마을두산위브,5,10,10,0,0,95
58,만현마을쌍용1차,5,20,5,0,0,120
59,물푸레마을휴먼시아1단지,5,0,0,0,0,25
60,물푸레마을휴먼시아2단지,5,0,5,0,5,45
61,물푸레마을휴먼시아5단지,5,0,5,5,5,55
62,물푸레마을휴먼시아7단지,5,5,5,10,0,80
63,물푸레마을휴먼시아9단지,5,10,5,10,0,100
64,민속마을쌍용,10,10,10,5,0,130
65,민속마을현대모닝사이드,10,0,20,0,0,110
66,백현마을경남아너스빌,5,5,5,5,0,70
67,백현마을동일하이빌,5,5,0,5,10,65
