,소재지명,도로명,위도,경도,시설구분
0,역북신원아침도시아파트,경기도 용인시 처인구 낙은로 11,37.2414775,127.1962133,아파트주차장
1,양지포레스토리,경기도 용인시 처인구 은이로 85,37.2185696,127.2770123,아파트주차장
2,양우내안애에듀퍼스트,경기도 용인시 처인구 경안천로 196-1,37.2448753,127.2144711,아파트주차장
3,힉스유타워 아파트,경기도 용인시 기흥구 중부대로 184,37.2653654,127.1005782,아파트주차장
4,성복역 KCC스위첸,경기도 용인시 수지구 성복1로 62,37.3175005,127.0653222,아파트주차장
5,신흥덕 롯데캐슬레이시티,경기도 용인시 기흥구 신정로 25,37.2897191,127.1014604,아파트주차장
6,성복역 롯데캐슬 골드타운,경기도 용인시 수지구 성복2로 10,37.3173486,127.0657805,아파트주차장
7,수지파크푸르지오,경기도 용인시 수지구 풍덕천로171번길 9,37.326677,127.0990275,아파트주차장
8,용인기흥 효성해링턴플레이스아파트,경기도 용인시 기흥구 덕영대로2077번길 33,37.2668569,127.0938951,아파트주차장
9,용인보라해링턴플레이스아파트,경기도 용인시 기흥구 사은로84번길 10,37.2549828,127.1146427,아파트주차장
10,동천센트럴자이아파트,경기도 용인시 수지구 고기로45번길 40-18,37.3414282,127.09015,아파트주차장
11,스위트홈아파트,경기도 용인시 처인구 금령로12번길 12,37.2340351,127.1982669,아파트주차장
12,인정멜로디,경기도 용인시 처인구 포곡로61번길 17,37.2701831,127.2123037,아파트주차장
13,신원1차,경기도 용인시 처인구 포곡로 90,37.2673683,127.215862,아파트주차장
14,신원2차,경기도 용인시 처인구 포곡로 98-1,37.2671718,127.2174808,아파트주차장
15,풍산햇빛마을,경기도 용인시 처인구 백옥대로2332번길 21-8,37.3326198,127.2496088,아파트주차장
16,용인행정타운두산위브2단지,경기도 용인시 처인구 지삼로590번길 9,37.2407937,127.1685228,아파트주차장
17,삼성쉐르빌아파트,경기도 용인시 처인구 포곡로 159,37.2721091,127.2222076,아파트주차장
18,용인행정타운두산위브1단지,경기도 용인시 처인구 지삼로590번길 24,37.2379662,127.1669651,아파트주차장
19,용인행정타운두산위브3단지,경기도 용인시 처인구 지삼로590번길 29,37.2379662,127.1669651,아파트주차장
20,삼환,경기도 용인시 처인구 중부대로1388번길 6-4,37.2331756,127.1976213,아파트주차장
21,용인김량장주공2단지,경기도 용인시 처인구 중부대로1388번길 6-14,37.2332327,127.1963404,아파트주차장
22,신우,경기도 용인시 처인구 중부대로1388번길 12,37.2324064,127.1975415,아파트주차장
23,행정타운늘푸른오스카빌,경기도 용인시 처인구 중부대로1158번길 12,37.2377369,127.1704115,아파트주차장
24,샘골마을신미주2단지,경기도 용인시 처인구 백옥대로587번길 7,37.1890263,127.2052835,아파트주차장
25,모현KCC스위첸,경기도 용인시 처인구 외대로54번길 12,37.3342455,127.2534724,아파트주차장
26,샘골마을신미주1단지,경기도 용인시 처인구 백옥대로621번길 11,37.1922759,127.2045139,아파트주차장
27,송전마을세광리치타워,경기도 용인시 처인구 경기동로705번길 28,37.1383131,127.2011905,아파트주차장
28,용인삼가풍림,경기도 용인시 처인구 금학로1번길 9,37.2460967,127.1669913,아파트주차장
29,이삭베스트,경기도 용인시 처인구 경안천로256번길 47-14,37.2524826,127.2271614,아파트주차장
30,임원마을영화1차,경기도 용인시 처인구 경안천로256번길 47-16,37.2529612,127.2260811,아파트주차장
31,e편한세상 용인한숲시티 5단지,경기도 용인시 처인구 한숲로 83,37.154057,127.1694138,아파트주차장
32,e편한세상 용인한숲시티6단지,경기도 용인시 처인구 한숲로 84,37.154057,127.1694138,아파트주차장
33,이편한세상 용인한숲시티 3단지,경기도 용인시 처인구 한숲로 123,37.154057,127.1694138,아파트주차장
34,e편한세상용인한숲시티4단지,경기도 용인시 처인구 한숲로 124,37.154057,127.1694138,아파트주차장
35,e편한세상 용인한숲시티 2단지,경기도 용인시 처인구 한숲로 137,37.154057,127.1694138,아파트주차장
36,인정피렌체빌리지1차,경기도 용인시 처인구 한터로152번길 45,37.2461609,127.2308262,아파트주차장
37,예진마을3차,경기도 용인시 처인구 한터로152번길 62,37.2444956,127.2309547,아파트주차장
38,예원마을코아루,경기도 용인시 처인구 한터로275번길 40,37.2582982,127.2368783,아파트주차장
39,용인성웅,경기도 용인시 처인구 영문로29번길 17,37.2674446,127.2070195,아파트주차장
40,효천마을신안인스빌,경기도 용인시 처인구 문현로 326,37.336697,127.2434822,아파트주차장
41,마평우성,경기도 용인시 처인구 금령로173번길 5,37.234869,127.2150041,아파트주차장
42,용인마평두보,경기도 용인시 처인구 금령로173번길 14,37.2355102,127.2163115,아파트주차장
43,우미 린 센트럴파크 관리사무소,경기도 용인시 처인구 명지로16번길 25,37.2345179,127.1879177,아파트주차장
44,용인 명지대역 동원로얄듀크아파트,경기도 용인시 처인구 명지로16번길 26,37.2345179,127.1879177,아파트주차장
45,동아,경기도 용인시 처인구 이원로 22,37.1891227,127.20946,아파트주차장
46,용인수목원우림필유아파트,경기도 용인시 처인구 백옥대로1898번길 34,37.2946122,127.2378268,아파트주차장
47,웰메이드시티337,경기도 용인시 처인구 금령로106번길 14-8,37.2342101,127.2078005,아파트주차장
48,금호어울림아파트,경기도 용인시 처인구 금령로13번길 13,37.2362757,127.1970058,아파트주차장
49,김량장동현대아파트,경기도 용인시 처인구 백옥대로1068번길 12,37.2301687,127.2115864,아파트주차장
50,예진마을2차,경기도 용인시 처인구 한터로152번길 15,37.2467124,127.2290272,아파트주차장
51,역북지웰 푸르지오,경기도 용인시 처인구 명지로40번길 35-16,37.232335,127.1881255,아파트주차장
52,용인역북골드클래스아파트,경기도 용인시 처인구 명지로40번길 35-29,37.232335,127.1881255,아파트주차장
53,용인동백두산위브더제니스,경기도 용인시 기흥구 동백죽전대로 507,37.2721371,127.1521978,아파트주차장
54,이안 두드림기흥역,경기도 용인시 기흥구 중부대로 376,37.2713491,127.1088506,아파트주차장
55,더샵수지포레,경기도 용인시 수지구 만현로67번길 20,37.3086893,127.0899616,아파트주차장
56,구갈한성1차,경기도 용인시 기흥구 기흥로 29,37.27866,127.114786,아파트주차장
57,e편한세상 수지아파트,경기도 용인시 수지구 포은대로313번길 7-10,37.3145055,127.0857938,아파트주차장
58,기흥역센트럴푸르지오,경기도 용인시 기흥구 기흥역로58번길 10,37.2719957,127.1070119,아파트주차장
59,기흥역파크푸르지오아파트,경기도 용인시 기흥구 기흥역로58번길 56,37.275657,127.115944,아파트주차장
60,기흥역 더샵 아파트,경기도 용인시 기흥구 기흥역로58번길 78,37.275657,127.115944,아파트주차장
61,신정마을극동임광,경기도 용인시 수지구 정평로 73,37.3224623,127.0886197,아파트주차장
62,신정마을현대프라임,경기도 용인시 수지구 정평로 89,37.323384,127.0901363,아파트주차장
63,수지한국,경기도 용인시 수지구 정평로 116,37.3236959,127.0936675,아파트주차장
64,현암마을동성2차,경기도 용인시 수지구 용구대로 2720,37.3274914,127.1100758,아파트주차장
65,죽전동성1차,경기도 용인시 수지구 용구대로 2742,37.3303672,127.1106094,아파트주차장
66,삼성래미안1차,경기도 용인시 기흥구 용구대로2394번길 27,37.2990376,127.1115909,아파트주차장
67,상현현대성우2차,경기도 용인시 수지구 상현로11번길 26,37.3041141,127.0774144,아파트주차장
68,금호베스트빌3단지,경기도 용인시 수지구 상현로42번길 40,37.303096,127.0820606,아파트주차장
69,상현마을동일스위트,경기도 용인시 수지구 상현로42번길 46,37.3041056,127.0821194,아파트주차장
70,죽전자이2차,경기도 용인시 기흥구 용구대로2469번길 20,37.3079519,127.1063048,아파트주차장
71,서원마을현대홈타운,경기도 용인시 수지구 포은대로 231,37.3092789,127.0817903,아파트주차장
72,성복역리버파크,경기도 용인시 수지구 포은대로 298,37.3133352,127.0874438,아파트주차장
73,죽전7차현대홈타운2단지,경기도 용인시 수지구 탄천상로 6,37.3321502,127.1123792,아파트주차장
74,현인마을대림이편한세상2차,경기도 용인시 수지구 탄천상로 29,37.3344694,127.1112776,아파트주차장
75,현인마을대림이편한세상3차,경기도 용인시 수지구 탄천상로 30,37.3338963,127.1122379,아파트주차장
76,원천마을푸르지오,경기도 용인시 수지구 고기로 3,37.342434,127.1010208,아파트주차장
77,행림마을진로,경기도 용인시 수지구 고기로 11,37.3423097,127.0999592,아파트주차장
78,동천자이아파트,경기도 용인시 수지구 고기로 89,37.3453396,127.0929391,아파트주차장
79,진산마을성원상떼빌아파트,경기도 용인시 수지구 진산로 24,37.3140878,127.092754,아파트주차장
80,광교산한양수자인더킨포크,경기도 용인시 수지구 태봉로 17,37.3334708,127.0595024,아파트주차장
81,수지진흥아파트,경기도 용인시 수지구 풍덕천로 19,37.3189996,127.0852565,아파트주차장
82,신정마을6단지상록,경기도 용인시 수지구 풍덕천로 33,37.3187877,127.0869875,아파트주차장
83,현대성우,경기도 용인시 수지구 풍덕천로 52,37.3182804,127.0902633,아파트주차장
84,신정마을7단지 상록아파트,경기도 용인시 수지구 풍덕천로 75,37.3208701,127.0899184,아파트주차장
85,신정마을9단지,경기도 용인시 수지구 풍덕천로 76,37.3196623,127.0919751,아파트주차장
86,초당마을삼부르네상스아파트,경기도 용인시 기흥구 동백1로 9,37.2642454,127.1574124,아파트주차장
87,초당마을 삼부르네상스,경기도 용인시 기흥구 동백1로 12,37.2633455,127.1582015,아파트주차장
88,신정마을주공1단지아파트,경기도 용인시 수지구 풍덕천로 91,37.3220492,127.0918527,아파트주차장
89,신갈신미주,경기도 용인시 기흥구 신갈로138번길 12,37.2783974,127.107181,아파트주차장
90,수지에듀파크,경기도 용인시 수지구 정평로13번길 20,37.317168,127.0866912,아파트주차장
91,동원로얄듀크,경기도 용인시 기흥구 죽현로 12,37.318504,127.11007,아파트주차장
92,어은목마을 벽산블루밍,경기도 용인시 기흥구 동백2로 11,37.2682124,127.1546826,아파트주차장
93,동백역 경남아너스빌,경기도 용인시 기흥구 동백2로 12,37.2666613,127.1558939,아파트주차장
94,대원칸타빌,경기도 용인시 기흥구 동백2로 37,37.2694433,127.156581,아파트주차장
95,한보라 에듀포레,경기도 용인시 기흥구 한보라1로43번길 22,37.2490286,127.1099826,아파트주차장
96,한보라마을휴먼시아4단지,경기도 용인시 기흥구 한보라1로43번길 23,37.250131,127.1113527,아파트주차장
97,삼성래미안,경기도 용인시 기흥구 한보라1로64번길 22,37.2517612,127.1063354,아파트주차장
98,인성마을현대,경기도 용인시 기흥구 용구대로 2242,37.2867008,127.1083516,아파트주차장
99,연원마을현대,경기도 용인시 기흥구 연원로 60,37.3025605,127.112153,아파트주차장
100,연원마을성원아파트,경기도 용인시 기흥구 연원로 49,37.3036996,127.1100054,아파트주차장
101,서그내마을SK,경기도 용인시 기흥구 예현로 15,37.2445199,127.0716548,아파트주차장
102,신정마을우성,경기도 용인시 수지구 정평로 41,37.3199788,127.0861529,아파트주차장
103,신정마을성지,경기도 용인시 수지구 정평로 61,37.3214227,127.0866758,아파트주차장
104,죽전누리에뜰,경기도 용인시 기흥구 죽전로 20,37.320049,127.1108698,아파트주차장
105,매화마을 우남 퍼스트빌,경기도 용인시 기흥구 고매로34번길 10,37.2301155,127.1121365,아파트주차장
106,우림홀인원,경기도 용인시 기흥구 고매로34번길 31,37.2283451,127.1144572,아파트주차장
107,동보1차,경기도 용인시 수지구 풍덕천로 161,37.3256226,127.0979445,아파트주차장
108,수지푸르지오월드마크,경기도 용인시 수지구 포은대로 467,37.3133529,127.0908014,아파트주차장
109,풍덕천동 한샘 더랜드마크,경기도 용인시 수지구 포은대로 477,37.3240079,127.1019727,아파트주차장
110,서원마을3단지아이파크,경기도 용인시 수지구 포은대로 219,37.3081086,127.0806573,아파트주차장
111,신촌마을포스홈타운1단지,경기도 용인시 기흥구 용구대로2518번길 15,37.3106907,127.1101937,아파트주차장
112,불곡마을벽산블루밍,경기도 용인시 기흥구 고매로43번길 32-2,37.2323529,127.1174464,아파트주차장
113,수지현대아파트,경기도 용인시 수지구 수지로342번길 18,37.3261735,127.0946781,아파트주차장
114,풍산,경기도 용인시 수지구 수지로78번길 20,37.309859,127.0768963,아파트주차장
115,인정프린스4차,경기도 용인시 기흥구 중부대로 820,37.2559873,127.1428991,아파트주차장
116,해든마을동문굿모닝힐,경기도 용인시 기흥구 동백죽전대로 455-10,37.2802174,127.1508744,아파트주차장
117,동백동원로얄듀크,경기도 용인시 기흥구 동백죽전대로 455-17,37.2795982,127.1490963,아파트주차장
118,신촌마을상록데시앙,경기도 용인시 기흥구 보정로 26,37.3131032,127.1105962,아파트주차장
119,동아솔레시티,경기도 용인시 기흥구 보정로 30,37.311563,127.1123596,아파트주차장
120,한일유엔아이,경기도 용인시 수지구 신봉1로48번길 29,37.3243278,127.081438,아파트주차장
121,서홍한화꿈에그린,경기도 용인시 수지구 신봉1로48번길 32,37.3233153,127.0811242,아파트주차장
122,서홍마을벽산블루밍,경기도 용인시 수지구 신봉1로48번길 45,37.324157,127.082767,아파트주차장
123,신봉마을자이3차,경기도 용인시 수지구 신봉1로71번길 25,37.3207041,127.078367,아파트주차장
124,민속마을쌍용,경기도 용인시 기흥구 사은로126번길 10,37.2535722,127.1172429,아파트주차장
125,성복힐스테이트3차,경기도 용인시 수지구 성복2로 220,37.3210477,127.0635893,아파트주차장
126,성복자이2차,경기도 용인시 수지구 성복2로 251,37.3173486,127.0657805,아파트주차장
127,장미마을 삼성래미안2차,경기도 용인시 기흥구 구성로 90,37.2929651,127.1183347,아파트주차장
128,죽전퍼스트하임,경기도 용인시 수지구 대지로 49,37.3295507,127.1145639,아파트주차장
129,꽃메마을현대홈타운4-4,경기도 용인시 수지구 푸른솔로 20,37.3216441,127.1163051,아파트주차장
130,도담마을뜨리에체,경기도 용인시 수지구 푸른솔로 49,37.3247753,127.1143729,아파트주차장
131,현대홈타운4차1단지,경기도 용인시 수지구 푸른솔로 55,37.3254573,127.1168878,아파트주차장
132,꽃메마을현대힐스테이트4차2단지,경기도 용인시 수지구 푸른솔로 56,37.3242317,127.116268,아파트주차장
133,도담마을 한양수자인,경기도 용인시 수지구 푸른솔로 76,37.3250982,127.1188711,아파트주차장
134,우미이노스빌1차,경기도 용인시 수지구 푸른솔로 88,37.326079,127.1195378,아파트주차장
135,"청명호수마을신안인스빌1,2단지",경기도 용인시 기흥구 덕영대로 1871,37.2551407,127.0887786,아파트주차장
136,죽현마을아이파크1차,경기도 용인시 기흥구 보정로 87,37.3179762,127.1138299,아파트주차장
137,죽현마을LG자이,경기도 용인시 기흥구 보정로 88,37.317145,127.116421,아파트주차장
138,기흥삼정,경기도 용인시 기흥구 사은로 64,37.2547375,127.1123312,아파트주차장
139,화성파크드림아파트,경기도 용인시 기흥구 한보라2로 93,37.24867,127.1121499,아파트주차장
140,화성파크드림프라브,경기도 용인시 기흥구 한보라2로 141,37.2453941,127.1106566,아파트주차장
141,한보라마을 경남아너스빌,경기도 용인시 기흥구 한보라2로 167,37.2431637,127.1083463,아파트주차장
142,한보라마을휴먼시아7단지,경기도 용인시 기흥구 한보라2로 168,37.2447678,127.1084953,아파트주차장
143,만현마을5단지현대,경기도 용인시 수지구 만현로 79,37.3086236,127.0867709,아파트주차장
144,만현마을쌍용3차,경기도 용인시 수지구 만현로 99,37.3074042,127.0867405,아파트주차장
145,만현마을쌍용1차,경기도 용인시 수지구 만현로 107,37.3061564,127.0882807,아파트주차장
146,만현마을두산위브,경기도 용인시 수지구 만현로 127,37.3052123,127.0869069,아파트주차장
