,apt_parking_name,5_score,4_score,3_score,2_score,1_score,Total
0,e편한세상 수지아파트,54,47,39,65,40,745
1,e편한세상 용인한숲시티 2단지,10,10,0,0,16,106
2,e편한세상 용인한숲시티 5단지,10,10,0,0,16,106
3,e편한세상 용인한숲시티6단지,10,10,0,0,16,106
4,e편한세상용인한숲시티4단지,10,10,0,0,16,106
5,갈현마을현대홈타운,38,33,21,36,45,502
6,강남마을9단지한라비발디,17,29,11,12,17,275
7,"강남마을자연앤4,6단지",15,31,12,19,30,303
8,강남마을코오롱하늘채,11,21,9,23,31,243
9,공세대주피오레2단지,7,5,1,2,6,68
10,광교경남아너스빌,24,2,16,21,21,239
11,광교레이크스위첸,18,15,18,13,5,235
12,광교레이크포레아파트,0,0,3,0,3,12
13,광교마을45단지,25,3,18,19,21,250
14,광교마을46단지 광교스타클래스,40,7,25,23,21,370
15,광교산자이아파트,26,36,27,27,10,419
16,광교산한양수자인더킨포크,7,6,0,8,8,83
17,광교상떼빌파크뷰(구 상현마을성원상떼빌아파트),46,14,31,22,18,441
18,광교상록자이,25,3,18,19,21,250
19,광교상현마을 현대아파트,43,12,31,26,19,427
20,광교상현솔하임,50,15,34,28,20,488
21,광교쌍용포레듀엔 2단지,54,18,38,28,19,531
22,광교쌍용포레듀엔1단지,56,21,40,30,18,562
23,광교쌍용포레듀엔3단지,56,22,38,28,16,554
24,광교현대프레미오,51,29,34,30,15,548
25,광교휴먼시아41단지,24,5,12,13,14,216
26,광교힐스테이트,55,34,29,32,18,580
27,교동마을LG자이,12,17,19,19,16,239
28,교동마을동양파라곤,12,24,27,21,24,303
29,교동마을신창아파트,12,16,16,19,16,226
30,교동마을쌍용,15,18,20,20,17,264
31,교동마을정광,15,21,25,22,21,299
32,교동마을현대,12,20,29,20,20,287
33,교동마을현대홈타운,17,25,26,19,25,326
34,구갈가현마을신안,35,35,30,34,38,511
35,구갈강남마을 계룡리슈빌,13,35,12,17,26,301
36,구갈세종그랑시아 2단지,8,28,30,23,60,348
37,구갈우림,22,42,35,46,90,565
38,구갈한성1차,18,38,37,36,77,502
39,구갈한성2차,20,41,35,39,86,533
