,소재지명,도로명,위도,경도,시설구분
0,CGV죽전 스타관,경기도 용인시 수지구 포은대로 536,37.32500317,127.1081093,영화상영관
1,CGV동백 제7관,경기도 용인시 기흥구 동백죽전대로 444,37.2779622,127.1516621,영화상영관
2,루블루시네마 3관,경기도 용인시 기흥구 신갈로 32  ,37.269325,127.1058267,영화상영관
3,회성극장,경기도 용인시 처인구 백옥대로 1131  ,37.2365202,127.2083216,영화상영관
4,롯데시네마 용인기흥 3관,경기도 용인시 기흥구 기흥역로 63,37.27533201,127.1177629,영화상영관
5,루블루시네마 5관,경기도 용인시 기흥구 신갈로 32  ,37.269325,127.1058267,영화상영관
6,CGV 용인 1관,경기도 용인시 처인구 금령로 86,37.2349655,127.2059622,영화상영관
7,CGV 광교상현 1관,경기도 용인시 수지구 광교중앙로295번길 9,37.29684222,127.0680481,영화상영관
8,롯데시네마 동백쥬네브 제8관,경기도 용인시 기흥구 동백죽전대로 444,37.2785086,127.1611008,영화상영관
9,CGV죽전 7관,경기도 용인시 수지구 포은대로 536,37.32500317,127.1081093,영화상영관
10,CGV동백제2관,경기도 용인시 기흥구 동백죽전대로 444,37.2779622,127.1516621,영화상영관
11,CGV 용인 6관,경기도 용인시 처인구 금령로 86 ,37.2349655,127.2059622,영화상영관
12,CGV동백 제6관,경기도 용인시 기흥구 동백죽전대로 444,37.2779622,127.1516621,영화상영관
13,애플스타 한국민속촌점,경기 용인시 기흥구 민속촌로 90,37.2570152,127.117522,영화상영관
14,롯데시네마 동백쥬네브 제3관,경기도 용인시 기흥구 동백죽전대로 444,37.2785086,127.1611008,영화상영관
15,CGV동백 제1관,경기도 용인시 기흥구 동백죽전대로 444,37.2779622,127.1516621,영화상영관
16,CGV 용인 7관,경기도 용인시 처인구 금령로 86 ,37.2349655,127.2059622,영화상영관
17,롯데시네마 용인기흥 6관,경기도 용인시 기흥구 기흥역로 63,37.27533201,127.1177629,영화상영관
18,CGV 용인 3관,경기도 용인시 처인구 금령로 86 ,37.2349655,127.2059622,영화상영관
19,한국민속촌 자동차극장 1관,경기도 용인시 기흥구 민속촌로 90,37.26091947,127.120813,영화상영관
20,CGV죽전 4관,경기도 용인시 수지구 포은대로 536,37.32500317,127.1081093,영화상영관
21,CGV죽전 2관,경기도 용인시 수지구 포은대로 536,37.32500317,127.1081093,영화상영관
22,롯데시네마 용인기흥 1관,경기도 용인시 기흥구 기흥역로 63,37.27533201,127.1177629,영화상영관
23,롯데시네마 동백쥬네브 제2관(프레스티지),경기도 용인시 기흥구 동백죽전대로 444,37.2785086,127.1611008,영화상영관
24,루블루시네마 2관,경기도 용인시 기흥구 신갈로 32  ,37.269325,127.1058267,영화상영관
25,CGV 광교상현 2관,경기도 용인시 수지구 광교중앙로295번길 9,37.29684222,127.0680481,영화상영관
26,CGV 용인 4관,경기도 용인시 처인구 금령로 86 ,37.2349655,127.2059622,영화상영관
27,롯데시네마 용인기흥 5관,경기도 용인시 기흥구 기흥역로 63,37.27533201,127.1177629,영화상영관
28,CGV죽전 1관,경기도 용인시 수지구 포은대로 536,37.32500317,127.1081093,영화상영관
29,루블루시네마 4관,경기도 용인시 기흥구 신갈로 32 ,37.269325,127.1058267,영화상영관
30,문예회관,경기도 용인시 처인구 중부대로1392번길 15 ,37.2318329,127.1988207,영화상영관
31,아시안레저개발주식회사(루블루시네마)제3관,경기도 용인시 기흥구 신갈로 32 ,37.269325,127.1058267,영화상영관
32,아시안레저개발주식회사(루블루시네마)제2관,경기도 용인시 기흥구 신갈로 32 ,37.269325,127.1058267,영화상영관
33,아시안레저개발주식회사(루블루시네마)제4관,경기도 용인시 기흥구 신갈로 32 ,37.269325,127.1058267,영화상영관
34,CGV 용인 8관,경기도 용인시 처인구 금령로 86 ,37.2349655,127.2059622,영화상영관
35,한국민속촌 자동차극장 2관,경기도 용인시 기흥구 민속촌로 90 ,37.26091947,127.120813,영화상영관
36,루블루시네마 1관,경기도 용인시 기흥구 신갈로 32 ,37.269325,127.1058267,영화상영관
37,CGV동백 제3관,경기도 용인시 기흥구 동백죽전대로 444,37.2779622,127.1516621,영화상영관
38,롯데시네마 용인기흥 4관,경기도 용인시 기흥구 기흥역로 63,37.27533201,127.1177629,영화상영관
39,CGV 용인 2관,경기도 용인시 처인구 금령로 86 ,37.2349655,127.2059622,영화상영관
40,아시안레저개발주식회사(루블루시네마)제1관,경기도 용인시 기흥구 신갈로 32 ,37.269325,127.1058267,영화상영관
41,롯데시네마 동백쥬네브 제6관,경기도 용인시 기흥구 동백죽전대로 444,37.2785086,127.1611008,영화상영관
42,CGV 광교상현 3관,경기도 용인시 수지구 광교중앙로295번길 9,37.29684222,127.0680481,영화상영관
43,롯데시네마 동백쥬네브 제1관,경기도 용인시 기흥구 동백죽전대로 444,37.2785086,127.1611008,영화상영관
44,CGV죽전 3관,경기도 용인시 수지구 포은대로 536,37.32500317,127.1081093,영화상영관
45,CGV동백 제5관,경기도 용인시 기흥구 동백죽전대로 444,37.2779622,127.1516621,영화상영관
46,롯데시네마 용인기흥 7관,경기도 용인시 기흥구 기흥역로 63,37.27533201,127.1177629,영화상영관
47,롯데시네마 용인기흥 2관,경기도 용인시 기흥구 기흥역로 63,37.27533201,127.1177629,영화상영관
48,롯데시네마 동백쥬네브 제4관,경기도 용인시 기흥구 동백죽전대로 444,37.2785086,127.1611008,영화상영관
49,CGV 용인 5관,경기도 용인시 처인구 금령로 86 ,37.2349655,127.2059622,영화상영관
50,CGV죽전 6관,경기도 용인시 수지구 포은대로 536,37.32500317,127.1081093,영화상영관
51,CGV동백 제8관,경기도 용인시 기흥구 동백죽전대로 444,37.2779622,127.1516621,영화상영관
52,CGV동백 제4관,경기도 용인시 기흥구 동백죽전대로 444,37.2779622,127.1516621,영화상영관
53,CGV죽전 5관,경기도 용인시 수지구 포은대로 536,37.32500317,127.1081093,영화상영관
54,롯데시네마 동백쥬네브 제5관,경기도 용인시 기흥구 동백죽전대로 444,37.2785086,127.1611008,영화상영관
55,CGV 광교상현 4관,경기도 용인시 수지구 광교중앙로295번길 9,37.29684222,127.0680481,영화상영관
56,롯데시네마 동백쥬네브 제7관,경기도 용인시 기흥구 동백죽전대로 444,37.2785086,127.1611008,영화상영관
57,아시안레저개발주식회사(루블루시네마)제5관,경기도 용인시 기흥구 신갈로 32 ,37.269325,127.1058267,영화상영관
58,롯데시네마 용인역북 2관,경기도 용인시 처인구 중부대로 1294,37.23546252,127.1883127,영화상영관
59,롯데시네마 용인역북 1관,경기도 용인시 처인구 중부대로 1294,37.23546252,127.1883127,영화상영관
60,롯데시네마 용인역북 4관,경기도 용인시 처인구 중부대로 1294,37.23546252,127.1883127,영화상영관
61,롯데시네마 용인역북 7관,경기도 용인시 처인구 중부대로 1294,37.23546252,127.1883127,영화상영관
62,롯데시네마 용인역북 6관,경기도 용인시 처인구 중부대로 1294,37.23546252,127.1883127,영화상영관
63,롯데시네마 용인역북 3관,경기도 용인시 처인구 중부대로 1294,37.23546252,127.1883127,영화상영관
64,롯데시네마 수지 3관,경기도 용인시 수지구 성복2로 38,37.3127533,127.0817766,영화상영관
65,롯데시네마 수지 8관,경기도 용인시 수지구 성복2로 38,37.3127533,127.0817766,영화상영관
66,롯데시네마 수지 6관,경기도 용인시 수지구 성복2로 38,37.3127533,127.0817766,영화상영관
67,롯데시네마 수지 2관,경기도 용인시 수지구 성복2로 38,37.3127533,127.0817766,영화상영관
68,롯데시네마 수지 1관,경기도 용인시 수지구 성복2로 38,37.3127533,127.0817766,영화상영관
69,롯데시네마 수지 4관,경기도 용인시 수지구 성복2로 38,37.3127533,127.0817766,영화상영관
70,롯데시네마 수지 5관,경기도 용인시 수지구 성복2로 38,37.3127533,127.0817766,영화상영관
71,메가박스(테크노밸리) 6관,경기도 용인시 기흥구 구성로 357,37.29135376,127.1481097,영화상영관
72,메가박스 용인테크노밸리 5관,경기도 용인시 기흥구 구성로 357,37.29132,127.1479894,영화상영관
73,메가박스 용인테크노밸리 3관,경기도 용인시 기흥구 구성로 357,37.29132,127.1479894,영화상영관
74,메가박스 용인테크노밸리 2관,경기도 용인시 기흥구 구성로 357,37.29132,127.1479894,영화상영관
75,메가박스 용인테크노밸리 4관,경기도 용인시 기흥구 구성로 357,37.29132,127.1479894,영화상영관
76,메가박스 용인테크노밸리 1관,경기도 용인시 기흥구 구성로 357,37.29132,127.1479894,영화상영관
77,메가박스중앙(주)용인기흥지점(컴포트 2관),경기도 용인시 기흥구 신고매로 59,37.22341803,127.114249,영화상영관
78,메가박스중앙(주)용인기흥지점(컴포트 3관),경기도 용인시 기흥구 신고매로 59,37.22341803,127.114249,영화상영관
