,소재지명,도로명,위도,경도,시설구분
0,송죽,경기도 용인시 처인구 양지면 양지로143번길 5-9,37.2350432,127.2832993,음식점
1,백암제일식당,경기도 용인시 처인구 백암면 백암로201번길 11,37.1648133,127.3731481,음식점
2,중앙식당,경기도 용인시 처인구 백암면 근창로 13,37.1633072,127.3704275,음식점
3,푸주옥,경기도 용인시 처인구 중부대로1392번길 18-8,37.2312710,127.197716,음식점
4,옛터,경기도 용인시 처인구 모현읍 능원로132번길 9,37.3274575,127.173798,음식점
5,대성부대고기식당,경기도 용인시 처인구 금령로90번길 3-6,37.2350043,127.206561,음식점
6,장수집,경기도 용인시 처인구 이동읍 경기동로1024번길 54,37.1147378,127.208553,음식점
7,고박사냉면,경기도 용인시 처인구 양지면 중부대로 1934-2,37.2378153,127.3136975,음식점
8,한가람,경기도 용인시 처인구 포곡읍 에버랜드로 199,37.297074300000006,127.20801003560771,음식점
9,풍미정식당,경기도 용인시 처인구 모현읍 능원로 72,37.3334184,127.1720821,음식점
10,우림개발(주)용인상휴게소(한식),경기도 용인시 처인구 주북로 66-16,37.2480859,127.23699115948824,음식점
11,우림개발(주)용인하휴게소(한식),경기도 용인시 처인구 주북로94번길 30-1,37.2455241,127.242351,음식점
12,뜰안애,경기도 용인시 처인구 이동읍 백옥대로 805-18,37.1455348,127.2005507,음식점
13,뜨락,경기도 용인시 처인구 이동읍 이원로 209,37.1865408,127.229246,음식점
14,돈가네옛날김치돼지찌개 백암점,경기도 용인시 처인구 백암면 백암로 175,37.1682827,127.3710684,음식점
15,(주)신촌댁식품,경기도 용인시 처인구 원삼면 죽양대로 1774,37.1810655,127.335363,음식점
16,한우정,경기도 용인시 처인구 중부대로1676번길 12,37.2314378,127.230238,음식점
17,두부고을,경기도 용인시 처인구 남사면 경기동로 13,37.1486559,127.130775,음식점
18,청룡,경기도 용인시 처인구 원삼면 보개원삼로 1624,37.1470565,127.3117327,음식점
19,알파인레스토랑(Alpine Food Fair),경기도 용인시 처인구 포곡읍 에버랜드로 199,37.297074300000006,127.20801003560771,음식점
20,오리엔탈 레스토랑(ORIENTAL Restaurant),경기도 용인시 처인구 포곡읍 에버랜드로 199,37.297074300000006,127.20801003560771,음식점
21,본가장수촌,경기도 용인시 처인구 모현읍 능원로 31,37.3392142,127.1728315,음식점
22,외할머니집(용인점),경기도 용인시 처인구 모현읍 오포로 97-1,37.3432294,127.177186,음식점
23,맛고을,경기도 용인시 처인구 이동읍 이원로 201,37.1864793,127.228401,음식점
24,행복한마당,경기도 용인시 처인구 양지면 중부대로 2065-9,37.2329518,127.2834617,음식점
25,호가(Hogar),경기도 용인시 처인구 포곡읍 성산로 670,37.2667033,127.1929651,음식점
26,주식회사시골농장가든,경기도 용인시 처인구 양지면 한터로 690,37.2629795,127.2596656,음식점
27,자작나무이야기,경기도 용인시 처인구 양지면 대대로 302,37.2654566,127.2608318,음식점
28,약산흑염소,경기도 용인시 처인구 양지면 남평로 106-1,37.2331106,127.2860003,음식점
29,늘봄공원,경기도 용인시 처인구 이동읍 백옥대로 500,37.1455348,127.2005507,음식점
30,주식회사엠스윙(포시즌),경기도 용인시 처인구 백옥대로 1311,37.3068472,127.237604,음식점
31,대원생고기전문점,경기도 용인시 처인구 용문로 82,37.2376497,127.1890821,음식점
32,무안막갈비,경기도 용인시 처인구 모현읍 백옥대로2186번길 11,37.320328,127.2442482,음식점
33,황순옥옛날감자탕,경기도 용인시 처인구 포곡읍 전대로 24,37.2815691,127.222022,음식점
34,돈까스클럽용인시청점,경기도 용인시 처인구 중부대로 1116,37.2406944,127.1697558,음식점
35,궁촌,경기도 용인시 처인구 지삼로 475,37.2341794,127.1556076,음식점
36,교동두부,경기도 용인시 처인구 양지면 양대로 37,37.2364208,127.2873053,음식점
37,학마루,경기도 용인시 처인구 용인대학로 96,37.2323371,127.1755843,음식점
38,대가해신탕,경기도 용인시 처인구 이동읍 이원로 219,37.1862055,127.230225,음식점
39,솔밭,경기도 용인시 처인구 이동읍 경기동로675번길 7,37.1405835,127.1959709,음식점
40,눈꽃참치,경기도 용인시 처인구 금령로71번길 9,37.2358564,127.203599,음식점
41,도둑골화로구이,경기도 용인시 처인구 포곡읍 포곡로117번길 23,37.2712665,127.2175149,음식점
42,본수원갈비(용인점),경기도 용인시 처인구 중부대로 1387,37.2337494,127.1985674,음식점
43,횡성한우타운&오리전문점,경기도 용인시 처인구 남사면 통삼로 507,37.1429550,127.136314,음식점
44,들꽃,경기도 용인시 처인구 이동읍 백자로156번길 19,37.2091858,127.168752,음식점
45,봉화한약우가든,경기도 용인시 처인구 경안천로 14,37.2526405,127.2195174,음식점
46,삼보추어탕,경기도 용인시 처인구 중부대로 1116,37.2406944,127.1697558,음식점
47,신촌설렁탕,경기도 용인시 처인구 포곡읍 성산로692번길 16,37.2877882,127.216007,음식점
48,칡냉면전문점 설봄,경기도 용인시 처인구 명지로 317,37.2272601,127.2100892,음식점
49,터,경기도 용인시 처인구 이동읍 백자로156번길 23,37.2095286,127.168482,음식점
