,소재지명,도로명,위도,경도,시설구분
2,24까페거리의원,경기도 용인시 기흥구 죽전로15번길 11-15,37.3214283,127.1091921,의원
3,365일이가편한연세치과의원,경기도 용인시 기흥구 마북로 126 204호,37.3014858,127.1216837,의원
4,365일이가편한연세치과의원,"경기도 용인시 기흥구 마북로 164, 203호",37.3039632,127.1243095,의원
5,365튼튼연합의원,"경기도 용인시 수지구 만현로 82-4, 404호",37.30942744,127.0857688,의원
6,365플러스이비인후과의원,"경기도 용인시 기흥구 죽전로 53, 404호",37.3206755,127.1146063,의원
7,365한숲가정의학과의원,"경기도 용인시 처인구 남사면 한숲로 45, 한숲스퀘어옐로우 4층 415호",37.1528196,127.1701931,의원
10,Bes의원,경기도 용인시 수지구 포은대로 536 8층,37.324647,127.1068499,의원
11,EB치과의원,경기도 용인시 기흥구 보정로 30 상가 209호,37.3114599,127.1125735,의원
12,G7치과의원,경기도 용인시 수지구 만현로 110,37.30676003,127.0846083,의원
13,I-플러스치과의원,"경기도 용인시 기흥구 흥덕2로87번길 18, 이씨티 A동 210호",37.27591306,127.0715918,의원
14,JK서울안과의원,"경기도 용인시 수지구 광교중앙로 304, 301, 302호",37.2969855,127.0695482,의원
15,M&M 소아과의원,경기도 용인시 기흥구 동백5로 21-11,37.2774653,127.1527097,의원
16,NYU아름다운치과교정과치과의원,"경기도 용인시 수지구 문정로7번길 20, 501호",37.32101015,127.0947668,의원
17,OK의원,"경기도 용인시 처인구 양지면 남평로 234, 4층",37.22802858,127.3065897,의원
18,SB성형외과의원,"경기도 용인시 기흥구 죽전로 2, 304,305호",37.32020166,127.1089807,의원
19,SJ美의원,"경기도 용인시 수지구 문정로 32, 5층",37.32336803,127.0954982,의원
21,SR부부치과의원,경기도 용인시 수지구 만현로 120 214호,37.3057879,127.084806,의원
24,UIC시카고치과의원,경기도 용인시 수지구 현암로 131 303호,37.3319021,127.1238755,의원
25,e편한치과의원,경기도 용인시 기흥구 중부대로 343-1,37.2716864,127.105052,의원
26,e프란트치과의원,"경기도 용인시 수지구 문인로54번길 2, 405~406호",37.333512,127.0973273,의원
27,e프랜드치과의원,"경기도 용인시 기흥구 강남로 8, 502호",37.2707912,127.1272389,의원
28,e화이트치과의원,"경기도 용인시 기흥구 보정로 109, 405호",37.31949189,127.1151919,의원
29,가람한의원,"경기도 용인시 수지구 성복2로 17, 103호",37.31074141,127.0812686,의원
30,가정이편한가정의학과의원,"경기도 용인시 기흥구 덕영대로2077번길 16, 302호",37.2681254,127.0964451,의원
31,가족사랑한의원,경기도 용인시 처인구 이동읍 백옥대로 628,37.1926688,127.2071778,의원
32,가족애치과의원,"경기도 용인시 수지구 성복2로 126, 205,206호",37.31812169,127.0727483,의원
33,가지런한 용인치과의원,"경기도 용인시 처인구 금령로 86, 2층",37.23508365,127.2058224,의원
