,소재지명,도로명,위도,경도,시설구분
0,#신슨즈(#Shinsons),경기도 용인시 기흥구 서그내로15번길 34,37.2464876,127.0768072,일반음식점
1,(Agit)아지트,경기도 용인시 처인구 금령로27번길 6-1,37.23543668,127.1992371,일반음식점
2,(B.H.C)비에이치씨 용인송전점,경기도 용인시 처인구 이동읍 경기동로687번길 6,37.14013437,127.1972165,일반음식점
3,(BBQ)비비큐치킨용인둔전점,경기도 용인시 처인구 포곡읍 포곡로 82,37.2679091,127.2151261,일반음식점
4,(BBQ)풍덕천중앙점,경기도 용인시 수지구 포은대로 319,37.31565848,127.0876855,일반음식점
6,(BHC)비에이치씨역북점,경기도 용인시 처인구 금학로241번길 11,37.23905604,127.1905753,일반음식점
7,(百康)백강양꼬치훠궈,경기도 용인시 기흥구 흥덕2로75번길 25-5,37.27394741,127.0714225,일반음식점
8,(신)돈이랑찌개랑,경기도 용인시 처인구 원삼면 죽양대로 1794,37.19657862,127.3259876,일반음식점
9,(유)아웃백스테이크하우스코리아 경기신세계점,경기도 용인시 수지구 포은대로 536,37.32500317,127.1081093,일반음식점
10,(주)갈비명가소들녘,경기도 용인시 처인구 양지면 양지로 242,37.2351117,127.2954166,일반음식점
11,(주)강가,경기도 용인시 수지구 성복2로 38,37.31268183,127.083302,일반음식점
12,(주)강지우밥상 용인점,경기도 용인시 처인구 금령로106번길 46-7,37.23398195,127.2050262,일반음식점
13,(주)갠지스,경기도 용인시 기흥구 동백죽전대로 444,37.2779622,127.1516621,일반음식점
15,(주)기흥장례식장,경기도 용인시 기흥구 하갈로 17,37.25283827,127.1028903,일반음식점
17,(주)남문떡볶이 상현점,경기도 용인시 수지구 상현로 119-8,37.30844103,127.0833013,일반음식점
18,(주)다다푸드,경기도 용인시 처인구 백암면 백원로 578-1,37.16683121,127.3754919,일반음식점
19,(주)다산홈푸드,경기도 용인시 처인구 이동읍 백옥대로 513,37.1831971,127.2029293,일반음식점
21,(주)데일리쿡 남동점,경기도 용인시 처인구 신기로 128,37.21472858,127.2016862,일반음식점
22,(주)독도게찜,경기도 용인시 기흥구 동백죽전대로527번길 98-41,37.28396133,127.1417704,일반음식점
23,(주)돈교동 신봉점,경기도 용인시 수지구 신봉1로 84,37.32362315,127.0764567,일반음식점
24,(주)동성식품,경기도 용인시 처인구 유림로119번길 2,37.25965152,127.2004941,일반음식점
25,(주)디에이치골프앤레저,경기도 용인시 처인구 백암면 황새울로 255,37.1106175,127.3440916,일반음식점
26,(주)만수정,경기도 용인시 기흥구 신정로 270-4,37.2918561,127.099154,일반음식점
27,(주)명지푸드항아리보쌈,경기도 용인시 처인구 명지로60번길 8-14,37.23221673,127.188033,일반음식점
28,(주)미래엔에듀케어딸기가좋아키즈카페용인점,경기도 용인시 처인구 중부대로 1294,37.23546252,127.1883127,일반음식점
29,(주)바운스카페분당(죽전)점,경기도 용인시 처인구 모현읍 오산로13번길 46,37.332038,127.1613484,일반음식점
31,(주)부자어린이박물관푸드뮤즈,경기도 용인시 기흥구 상갈로 6,37.2679881,127.1096919,일반음식점
32,(주)블루원 기사식당,경기도 용인시 처인구 원삼면 보개원삼로1534번길 40,37.1295416,127.3148157,일반음식점
33,(주)블루원 스타트하우스,경기도 용인시 처인구 원삼면 보개원삼로1534번길 40,37.13418249,127.3259392,일반음식점
34,(주)블루원 클럽하우스,경기도 용인시 처인구 원삼면 보개원삼로1534번길 40,37.13418249,127.3259392,일반음식점
35,(주)비에스에프앤씨,경기도 용인시 기흥구 구성로 18,37.29494406,127.111526,일반음식점
36,(주)빠델라,경기도 용인시 기흥구 구성로279번길 10,37.2907883,127.1404889,일반음식점
37,(주)산간고,경기도 용인시 수지구 고기로 126,37.34764902,127.0903784,일반음식점
42,(주)신촌댁식품,경기도 용인시 처인구 원삼면 죽양대로 1774,37.19461165,127.3261098,일반음식점
43,(주)신화푸드 긴자 죽전점,경기도 용인시 수지구 용구대로 2750,37.33124529,127.1094766,일반음식점
44,(주)신화푸드 송도갈비천지연죽전점,경기도 용인시 수지구 용구대로 2750,37.33103317,127.1092395,일반음식점
45,(주)아워홈 싱카이 노블카운티,경기도 용인시 기흥구 덕영대로 1751,37.25258476,127.0841842,일반음식점
47,(주)앤트러사이트커피용인기흥점,경기도 용인시 기흥구 신고매로 124,37.22544981,127.1209569,일반음식점
48,(주)에밀리드바하마,경기도 용인시 기흥구 어정로 134-24,37.27495314,127.1466859,일반음식점
