,소재지명,도로명,위도,경도,시설구분
0,구갈1리 소공원 주변,경기도 용인시 기흥구 신구로 39,37.2756292,127.1092742,공영주차장
1,구갈공원 주변,경기도 용인시 기흥구 관곡로85번길 3-6,37.2813461,127.1142437,공영주차장
2,기흥구 맛깔촌 주변,경기도 용인시 기흥구 갈천로 76,37.2699633,127.1075526,공영주차장
3,새천년로16번길 주변,경기도 용인시 기흥구 새천년로16번길 3-10,37.285772,127.1021053,공영주차장
4,신갈1리 소공원 주변,경기도 용인시 기흥구 상갈로23번길 17,37.2684059,127.1059382,공영주차장
5,유방공영,경기도 용인시 처인구 백옥대로1392번길 29,37.2594917,127.2161509,공영주차장
6,김량장 공영,경기도 용인시 처인구 김량장동 505-1,37.2324374,127.198349,공영주차장
7,역북어린이공원,경기도 용인시 처인구 역북동 725-1,37.234298,127.1900148,공영주차장
8,전대에버랜드역,경기도 용인시 처인구 포곡읍 에버랜드로 143,37.2853814,127.2193137,공영주차장
9,마평동 공영,경기도 용인시 처인구 마평동 735-12,37.2344158,127.2111782,공영주차장
10,탄천둔치,경기도 용인시 기흥구 마북동 583-15,37.2938724,127.1121081,공영주차장
11,영덕동 공영,경기도 용인시 기흥구 영덕동 937-1,37.2676266,127.0754186,공영주차장
12,수지체육공원,경기도 용인시 수지구 풍덕천동 35,37.3277906,127.0972411,공영주차장
13,포곡읍,경기도 용인시 처인구 포곡읍 포곡로 258,37.2776023,127.2306796,공영주차장
14,모현면,경기도 용인시 처인구 모현읍 독점로 31-6,37.3293697,127.2424574,공영주차장
15,이동면,경기도 용인시 처인구 이동읍 경기동로 673,37.1410039,127.1959075,공영주차장
16,원삼면,경기도 용인시 처인구 원삼면 원양로 64,37.1663358,127.3130641,공영주차장
17,양지면,경기도 용인시 처인구 양지면 양지로105번길 5,37.2351945,127.2797303,공영주차장
18,역삼동,경기도 용인시 처인구 명지로 16,37.2345534,127.1880433,공영주차장
19,유림동,경기도 용인시 처인구 백옥대로 1315,37.2524899,127.2115098,공영주차장
20,구갈동,경기도 용인시 기흥구 강남로 23,37.2723226,127.1275233,공영주차장
21,상갈동,경기도 용인시 기흥구 상갈로 2,37.2664581,127.1077168,공영주차장
22,기흥동,경기도 용인시 기흥구 고매로43번길 12-14,37.2314099,127.1154098,공영주차장
23,서농동,경기도 용인시 기흥구 서천동로 94,37.2347412,127.0716908,공영주차장
24,마북동,경기도 용인시 기흥구 구교동로118번길 16,37.3014538,127.1176345,공영주차장
25,동백동,경기도 용인시 기흥구 동백중앙로 214,37.2723218,127.1516623,공영주차장
26,풍덕천1동,경기도 용인시 수지구 수지로342번길 3,37.3277563,127.0950522,공영주차장
27,풍덕천2동,경기도 용인시 수지구 풍덕천로 51,37.3193726,127.0886565,공영주차장
28,죽전1동,경기도 용인시 수지구 대지로15번길 50,37.3310109,127.1138205,공영주차장
29,동천동,경기도 용인시 수지구 신수로783번길 40,37.3417009,127.0990529,공영주차장
30,상현1동,경기도 용인시 수지구 상현로 71,37.304655,127.0812969,공영주차장
31,수지 노상,경기도 용인시 수지구 풍덕천로189번길 13,37.3274008,127.1001629,공영주차장
32,풍덕천공영,경기도 용인시 수지구 풍덕천로189번길 13,37.3274008,127.1001629,공영주차장
33,금학공영,경기도 용인시 처인구 용문로 140,37.2362712,127.2010973,공영주차장
34,중앙공영,경기도 용인시 처인구 백옥대로 1103,37.2339972,127.2084275,공영주차장
35,보정공영,경기도 용인시 기흥구 죽전로27번길 14-4,37.3217322,127.1118551,공영주차장
36,상갈공영,경기도 용인시 기흥구 금화로105번길 3,37.2657382,127.1066674,공영주차장
37,수지노외,경기도 용인시 수지구 문정로 15,37.3220973,127.0958238,공영주차장
38,신갈 제1공영,경기도 용인시 기흥구 갈천로7번길 69,37.2707389,127.1067193,공영주차장
39,상현2동(상현공영),경기도 용인시 수지구 만현로 48,37.3117061,127.087046,공영주차장
40,처인구청,경기도 용인시 처인구 금령로 50,37.2344685,127.2015096,공영주차장
41,기흥구청,경기도 용인시 기흥구 관곡로 95,37.2801294,127.1146591,공영주차장
42,수지구청,경기도 용인시 수지구 포은대로 435,37.322096,127.0974145,공영주차장
43,구성동,경기도 용인시 기흥구 구성로77번길 17,37.2965962,127.1187437,공영주차장
44,수지아르피아(죽전2동),경기도 용인시 수지구 포은대로 499,37.3260974,127.1071904,공영주차장
45,행정타운,경기도 용인시 처인구 중부대로 1199,37.2407685,127.1774648,공영주차장
46,신갈동(기흥구보건소),경기도 용인시 기흥구 신갈로58번길 11,37.2725139,127.106688,공영주차장
47,보정동,경기도 용인시 기흥구 죽전로 40,37.3197853,127.1126307,공영주차장
48,동백노상,경기도 용인시 기흥구 동백중앙로 214,37.2723218,127.1516623,공영주차장
49,행정타운 주변,경기도 용인시 처인구 중부대로 1199,37.2407685,127.1774648,공영주차장
50,국도 42호선 주변,경기도 용인시 처인구 김량장동 380,37.2337725,127.1974059,공영주차장
51,명지대사거리 주변,경기도 용인시 처인구 용문로 42,37.2369912,127.1905398,공영주차장
52,문예회관 주변,경기도 용인시 처인구 중부대로1440번길 5,37.227738,127.2013567,공영주차장
53,구갈119안전센터 주변,경기도 용인시 기흥구 신구로64번길 5,37.2777909,127.1100553,공영주차장
54,신갈초등학교 주변,경기도 용인시 기흥구 신갈로84번길 15-1,37.2740722,127.1072426,공영주차장
55,용인종합운동장,경기도 용인시 처인구 경안천로 76,37.2378001,127.2132386,공영주차장
56,남사면,경기도 용인시 처인구 남사읍 내기로 22,37.1152903,127.1503531,공영주차장
57,백암면,경기도 용인시 처인구 백암면 백암로 189,37.1635886,127.3753008,공영주차장
58,동부동,경기도 용인시 처인구 중부대로 1574,37.2327708,127.2190956,공영주차장
59,상하동,경기도 용인시 기흥구 어정로 62-23,37.2704096,127.1382984,공영주차장
60,신봉동,경기도 용인시 수지구 수지로 215,37.3205926,127.0834908,공영주차장
61,성복동,경기도 용인시 수지구 성복1로 100,37.3163398,127.068911,공영주차장
62,중앙노외,경기도 용인시 처인구 금령로90번길 3-18,37.2348552,127.2072353,공영주차장
63,신갈 제2공영,경기도 용인시 기흥구 갈천로7번길 45-11,37.270849,127.1044082,공영주차장
64,중앙동,경기도 용인시 처인구 금령로78번길 8-1,37.2341107,127.205295,공영주차장
65,여성회관,경기도 용인시 수지구 문정로7번길 15,37.3204578,127.0954156,공영주차장
