,place,도로명,위도,경도,시설구분,5_score,4_score,3_score,2_score,1_score,Total
0,서원마을현대홈타운,경기도 용인시 수지구 포은대로 231,37.3092789,127.0817903,아파트주차장,74,57,58,52,24,900
1,현대성우5차,경기도 용인시 수지구 상현로 119-6,37.309069,127.0838877,아파트주차장,77,53,53,53,21,883
2,서원마을3단지아이파크,경기도 용인시 수지구 포은대로 219,37.3081086,127.0806573,아파트주차장,78,49,57,50,22,879
3,성복역 아이파크,경기도 용인시 수지구 상현로 142,37.3111606,127.0854248,아파트주차장,67,54,53,57,28,852
4,수지센트럴아이파크,경기도 용인시 수지구 상현로 101,37.3069417,127.0825193,아파트주차장,75,47,57,47,16,844
5,상현2동,경기도 용인시 수지구 만현로 48,37.3121418,127.0872845,관공서,59,54,49,61,31,811
6,만현마을2단지현대아이파크,경기도 용인시 수지구 만현로67번길 9,37.3092782,127.0881144,아파트주차장,62,55,50,51,15,797
7,만현마을쌍용3차,경기도 용인시 수지구 만현로 99,37.3074042,127.0867405,아파트주차장,60,55,55,47,13,792
8,만현마을5단지현대,경기도 용인시 수지구 만현로 79,37.3086236,127.0867709,아파트주차장,63,51,52,49,15,788
9,금호베스트빌4단지,경기도 용인시 수지구 상현로 67-12,37.3055452,127.080684,아파트주차장,70,44,56,39,15,787
10,성복역리버파크,경기도 용인시 수지구 포은대로 298,37.3133352,127.0874438,아파트주차장,54,53,44,65,35,779
11,엘지빌리지2차,경기도 용인시 수지구 수지로113번길 15,37.312431,127.078327,아파트주차장,69,46,35,52,35,773
12,태영데시앙2차,경기도 용인시 수지구 풍덕천로22번길 67,37.3142837,127.0826342,아파트주차장,60,49,38,58,43,769
13,상현1동,경기도 용인시 수지구 상현로 71,37.3045954,127.0811366,관공서,71,39,54,38,15,764
14,수지금호베스트빌5단지,경기도 용인시 수지구 심곡로 16,37.3070247,127.0780026,아파트주차장,69,39,51,40,21,755
15,도담마을9단지죽전파크빌,경기도 용인시 수지구 정든로 22,37.3277268,127.1161188,아파트주차장,54,53,47,40,44,747
16,수지태영데시앙1차,경기도 용인시 수지구 수지로 166,37.3153691,127.0830441,아파트주차장,54,51,36,61,42,746
17,벽산블루밍,경기도 용인시 수지구 수지로 68,37.3088564,127.07752,아파트주차장,67,41,45,43,25,745
18,e편한세상 수지아파트,경기도 용인시 수지구 포은대로313번길 7-10,37.3145055,127.0857938,아파트주차장,54,47,39,65,40,745
19,수지금호베스트빌TheEdu,경기도 용인시 수지구 상현로 59,37.304557,127.07955,아파트주차장,69,39,51,35,14,738
20,수지한신,경기도 용인시 수지구 대지로 27,37.3279466,127.1126149,아파트주차장,53,59,41,31,50,736
21,풍산,경기도 용인시 수지구 수지로78번길 20,37.309859,127.0768963,아파트주차장,66,43,40,44,25,735
22,더리버하임,경기도 용인시 수지구 대지로 19,37.3282911,127.1121787,아파트주차장,53,59,40,31,51,734
23,만현마을1단지롯데캐슬,경기도 용인시 수지구 만현로 25,37.3130672,127.0884511,아파트주차장,52,48,41,63,31,732
24,죽전역솔하임,경기도 용인시 수지구 정든로 5,37.3274678,127.1145453,아파트주차장,53,55,44,32,48,729
25,죽전퍼스트하임,경기도 용인시 수지구 대지로 49,37.3295507,127.1145639,아파트주차장,54,53,44,31,44,720
26,상현마을동일스위트,경기도 용인시 수지구 상현로42번길 46,37.3041056,127.0821194,아파트주차장,65,40,49,36,14,718
27,현암마을동성2차,경기도 용인시 수지구 용구대로 2720,37.3274914,127.1100758,아파트주차장,49,59,39,30,53,711
28,수지한국,경기도 용인시 수지구 정평로 116,37.3236959,127.0936675,아파트주차장,37,39,62,65,53,710
29,죽전1동,경기도 용인시 수지구 대지로15번길 50,37.3309473,127.1138276,관공서,53,52,44,30,42,707
30,현대홈타운4차1단지,경기도 용인시 수지구 푸른솔로 55,37.3254573,127.1168878,아파트주차장,53,52,39,38,39,705
31,수지강남빌리지,경기도 용인시 수지구 수지로113번길 16,37.3141146,127.077801,아파트주차장,65,42,25,48,40,704
32,수지현대아파트,경기도 용인시 수지구 수지로342번길 18,37.3261735,127.0946781,아파트주차장,39,39,60,63,46,703
33,이스턴팰리스아파트,경기도 용인시 수지구 풍덕천로30번길 20,37.316251,127.0875507,아파트주차장,43,47,40,66,48,703
34,도담마을롯데캐슬,경기도 용인시 수지구 대지로 64,37.3285682,127.116452,아파트주차장,50,48,46,39,45,703
35,죽전동성1차,경기도 용인시 수지구 용구대로 2742,37.3303672,127.1106094,아파트주차장,52,57,36,30,45,701
36,도담마을뜨리에체,경기도 용인시 수지구 푸른솔로 49,37.3247753,127.1143729,아파트주차장,56,52,37,29,44,701
37,만현마을3단지성원상떼빌,경기도 용인시 수지구 만현로67번길 19,37.3097039,127.0902639,아파트주차장,50,47,45,52,16,693
38,대지마을2차현대홈타운,경기도 용인시 수지구 현암로 54,37.3307647,127.1150823,아파트주차장,50,51,43,35,39,692
39,수지한성,경기도 용인시 수지구 문정로 55,37.3247818,127.0927439,아파트주차장,35,41,60,60,51,690
40,풍덕천1동,경기도 용인시 수지구 수지로342번길 3,37.3278713,127.0950572,관공서,41,39,56,59,42,689
41,상현현대성우3차,경기도 용인시 수지구 상현로 88,37.304552,127.0847265,아파트주차장,57,44,47,37,13,689
42,상현마을현대성우1차,경기도 용인시 수지구 상현로 100,37.304552,127.0847265,아파트주차장,57,44,47,37,13,689
43,수지구청,경기도 용인시 수지구 포은대로 435,37.3241541,127.0932899,관공서,37,37,59,61,53,685
44,현대성우,경기도 용인시 수지구 풍덕천로 52,37.3182804,127.0902633,아파트주차장,39,42,48,62,54,685
45,신정마을9단지,경기도 용인시 수지구 풍덕천로 76,37.3196623,127.0919751,아파트주차장,35,43,54,61,54,685
46,초입마을삼익풍림동아,경기도 용인시 수지구 문인로 59,37.3320489,127.0960328,아파트주차장,50,38,45,57,30,681
47,수지푸르지오월드마크,경기도 용인시 수지구 포은대로 467,37.3133529,127.0908014,아파트주차장,44,43,42,67,28,680
48,수지4차삼성,경기도 용인시 수지구 수풍로 90,37.3307712,127.0940328,아파트주차장,46,38,49,56,38,679
49,신정마을현대프라임,경기도 용인시 수지구 정평로 89,37.323384,127.0901363,아파트주차장,36,40,55,61,52,679
50,래미안수지이스트파크,경기도 용인시 수지구 신수로683번길 19,37.3305836,127.1003832,아파트주차장,46,41,49,52,33,678
51,신정마을주공1단지아파트,경기도 용인시 수지구 풍덕천로 91,37.3220492,127.0918527,아파트주차장,33,42,55,61,56,676
52,죽전주공8단지,경기도 용인시 수지구 죽전로27번길 60,37.32504,127.1128928,아파트주차장,51,53,37,26,46,676
53,더샵수지포레,경기도 용인시 수지구 만현로67번길 20,37.3086893,127.0899616,아파트주차장,50,47,43,47,14,675
54,꽃메마을현대힐스테이트4차2단지,경기도 용인시 수지구 푸른솔로 56,37.3242317,127.116268,아파트주차장,53,47,37,33,39,669
55,도담마을아이파크,경기 용인시 수지구 대지로 82,37.3293065,127.1178233,아파트주차장,45,45,46,43,38,667
56,동부1차,경기도 용인시 수지구 수지로 323,37.3280158,127.0928698,아파트주차장,38,39,53,59,43,666
