,place,도로명,위도,경도,시설구분,5_score,4_score,3_score,2_score,1_score,Total
0,폴라리스,경기도 용인시 처인구 금령로40번길 16-2 ,37.2334433,127.2003236,숙박업소,30,10,5,0,10,215
1,수지벽산2단지,경기도 용인시 수지구 용구대로2771번길 66,37.3355358,127.1057095,아파트주차장,25,10,5,5,5,195
2,필모텔,경기도 용인시 처인구 중부대로 1412,37.2325502,127.2009862,숙박업소,30,5,5,0,5,190
3,창원여관,경기도 용인시 처인구 중부대로 1415 ,37.2330268,127.2015171,숙박업소,25,5,10,0,10,185
4,썬스테이호텔,경기도 용인시 처인구 중부대로 1399,37.23322074,127.1998321,숙박업소,25,10,5,0,5,185
5,벽산타운3단지,경기도 용인시 수지구 용구대로2801번길 16,37.3352068,127.1070112,아파트주차장,20,10,10,0,5,175
6,죽전동성1차,경기도 용인시 수지구 용구대로 2742,37.3303672,127.1106094,아파트주차장,15,20,0,5,0,165
7,와우(WOW),경기도 용인시 처인구 중부대로 1417-1,37.2330534,127.2017876,숙박업소,20,5,10,0,10,160
8,죽전1동,경기도 용인시 수지구 대지로15번길 50,37.3309473,127.1138276,관공서,15,10,15,0,0,160
9,성복센트럴자이아파트,경기도 용인시 수지구 성복2로 184,37.3204319,127.0670877,아파트주차장,10,25,0,0,0,150
10,금호베스트빌4단지,경기도 용인시 수지구 상현로 67-12,37.3055452,127.080684,아파트주차장,10,5,25,0,0,145
11,유메이드,경기도 용인시 처인구 금령로 43,37.2351129,127.20094,아파트주차장,15,15,0,0,10,145
12,벽산타운1단지,경기도 용인시 수지구 용구대로2771번길 68,37.3364667,127.1054931,아파트주차장,20,5,5,5,0,145
13,처인구청,경기도 용인시 처인구 금령로 50,37.2344735,127.2014077,관공서,15,15,0,0,10,145
14,수지2차삼성,경기도 용인시 수지구 수풍로 38,37.3272638,127.0915124,아파트주차장,10,10,10,10,5,145
15,도담마을 한양수자인,경기도 용인시 수지구 푸른솔로 76,37.3250982,127.1188711,아파트주차장,10,10,5,15,0,135
16,용인삼가풍림,경기도 용인시 처인구 금학로1번길 9,37.2460967,127.1669913,아파트주차장,20,5,5,0,0,135
17,수지금호베스트빌TheEdu,경기도 용인시 수지구 상현로 59,37.304557,127.07955,아파트주차장,15,0,20,0,0,135
18,금호베스트빌2단지,경기도 용인시 수지구 상현로 58,37.3029745,127.0801141,아파트주차장,20,0,5,5,5,130
19,서원마을3단지아이파크,경기도 용인시 수지구 포은대로 219,37.3081086,127.0806573,아파트주차장,15,5,5,10,0,130
20,민속마을쌍용,경기도 용인시 기흥구 사은로126번길 10,37.2535722,127.1172429,아파트주차장,10,10,10,5,0,130
21,상현1동,경기도 용인시 수지구 상현로 71,37.3045954,127.0811366,관공서,15,0,15,5,0,130
22,수지자이아파트,경기도 용인시 수지구 성복2로 174,37.3197437,127.0682628,아파트주차장,10,20,0,0,0,130
23,동천마을현대2차홈타운,경기도 용인시 수지구 동천로63번길 10,37.3384777,127.0960934,아파트주차장,10,10,5,10,0,125
24,광교쌍용포레듀엔 2단지,경기도 용인시 수지구 상현로 30-6,37.3016213,127.0770196,아파트주차장,15,0,10,5,10,125
25,대지마을현대홈타운3차2단지,경기도 용인시 수지구 대지로15번길 60,37.3326102,127.1143633,아파트주차장,15,5,10,0,0,125
26,삼성래미안1차,경기도 용인시 기흥구 용구대로2394번길 27,37.2990376,127.1115909,아파트주차장,5,5,20,10,0,125
27,상현엘지자이,경기도 용인시 수지구 만현로133번길 33,37.3041327,127.0897095,아파트주차장,10,10,10,0,5,125
28,죽전7차현대홈타운2단지,경기도 용인시 수지구 탄천상로 6,37.3321502,127.1123792,아파트주차장,10,10,10,0,5,125
