,소재지명,도로명,위도,경도,시설구분
0,중앙환경㈜,경기도 용인시 처인구 신송로131번길 29,37.23090876,127.2454248,폐기물처리업체
1,㈜광신,경기도 용인시 기흥구 공세로 149,37.23724732,127.1070566,폐기물처리업체
2,용인시도시공사,경기도 용인시 처인구 경안천로 76,37.23780012,127.2132386,폐기물처리업체
3,㈜고려환경,경기도 용인시 처인구 모현읍 갈월로49번길 21,37.32450945,127.2487264,폐기물처리업체
4,㈜한우리환경,경기도 용인시 기흥구 신정로151번길 11-19,37.28384575,127.0997686,폐기물처리업체
5,온누리㈜,경기도 용인시 처인구 남사면 처인성로 957-4,37.17178289,127.1790175,폐기물처리업체
6,㈜알엔알,경기도 용인시 기흥구 동백5로 22,37.27585425,127.1513536,폐기물처리업체
7,㈜알엠용인,경기도 용인시 기흥구 동백중앙로16번길 16-4,37.25641012,127.165045,폐기물처리업체
8,용진실업㈜,경기도 용인시 처인구 포곡읍 에버랜드로376번길 154,37.29740051,127.2196527,폐기물처리업체
9,㈜광신그린,경기도 용인시 기흥구 공세로 149,37.23724732,127.1070566,폐기물처리업체
10,㈜고려환경,경기도 용인시 처인구 모현읍 갈월로49번길 21,37.32450945,127.2487264,폐기물처리업체
11,동우케미칼㈜,경기도 용인시 처인구 백암면 삼백로 367-21,37.10490393,127.3752271,폐기물처리업체
12,용진환경,경기도 용인시 기흥구 동백3로11번길 21,37.27051933,127.1520196,폐기물처리업체
13,㈜대신피엔에스,경기도 용인시 기흥구 동백5로 21-7,37.2769344,127.1522126,폐기물처리업체
14,삼호환경기술㈜,경기도 용인시 처인구 남사면 북리84-6,37.13734184,127.1552467,폐기물처리업체
15,용문산업㈜,경기도 용인시 처인구 백암면 가창로 29,37.19159035,127.3645023,폐기물처리업체
16,미르이엔지㈜,경기도 용인시 처인구 백암면 근창로 23,37.16389586,127.3721612,폐기물처리업체
17,광명자원개발㈜,경기도 용인시 처인구 포곡읍 부곡로 29-1,37.28018377,127.2186561,폐기물처리업체
18,서룡환경㈜,경기도 용인시 처인구 금학로 223,37.23868881,127.1882676,폐기물처리업체
19,그린자원,경기도 용인시 처인구 이동읍 화산로 19,37.1453153,127.204124,폐기물처리업체
20,(주)삼일공사,경기도 용인시 처인구 이동읍 백옥대로 865,37.21321959,127.2082923,폐기물처리업체
21,청정환경,경기도 용인시 처인구 이동읍 백옥대로 488,37.18070039,127.2034633,폐기물처리업체
22,하진환경,경기도 용인시 처인구 원삼면 원양로 133-15,37.17198095,127.3078402,폐기물처리업체
23,케이씨환경산업㈜,경기도 용인시 처인구 백암면 죽양대로 829,37.14017669,127.3930252,폐기물처리업체
24,㈜굿 맨,경기도 용인시 수지구 풍덕천로190번길 24,37.32439894,127.1019981,폐기물처리업체
25,태진환경,경기도 용인시 처인구 백암면 죽양대로 870-10,37.14384018,127.3886656,폐기물처리업체
26,㈜한비삼운,경기도 용인시 처인구 이동읍 경기동로 646,37.14172957,127.192938,폐기물처리업체
27,중화환경,경기도 용인시 기흥구 사은로 274-44,37.2513538,127.1375204,폐기물처리업체
28,백마환경,경기도 용인시 처인구 남사면 봉무로 5,37.1147831,127.1524674,폐기물처리업체
